C0000100,C0000200,C0005700,m_age_ya,m_HGC
76802,768,1987,25,14
76803,768,1989,27,14
76804,768,1993,31,14
77001,770,1980,19,12
77002,770,1983,21,12
77501,775,1985,26,16
77502,775,1986,28,16
77503,775,1986,28,16
77901,779,1988,24,14
78301,783,1981,17,95
78501,785,1987,30,12
78701,787,1986,25,12
78801,788,1998,39,16
78901,789,1981,22,12
79001,790,1991,27,12
79201,792,1982,22,16
79202,792,1985,24,16
79203,792,1989,28,16
79204,792,1997,37,16
80101,801,1981,21,19
80102,801,1984,24,19
80103,801,1987,28,19
80301,803,1981,18,12
80302,803,1987,24,12
80303,803,1989,27,12
80304,803,1996,33,12
80305,803,1998,36,12
80306,803,2001,38,12
80401,804,1986,21,14
80402,804,1987,23,14
80501,805,1994,36,11
81001,810,1989,28,16
81101,811,1993,34,15
81201,812,1985,25,16
81202,812,1987,27,16
81203,812,1990,29,16
81204,812,1993,32,16
81401,814,1982,24,12
81402,814,1985,27,12
81601,816,1990,32,16
81602,816,1994,36,16
82001,820,1996,36,17
82401,824,1993,34,18
82801,828,1990,28,14
82802,828,1991,30,14
82901,829,1988,31,20
82902,829,1993,35,20
83001,830,1979,19,12
83101,831,1984,21,12
83102,831,1987,24,12
83103,831,1992,29,12
83104,831,1998,35,12
83401,834,1983,24,13
83402,834,1988,28,13
83403,834,1992,32,13
83501,835,1985,21,13
83502,835,1986,22,13
83601,836,1979,18,15
83602,836,1988,27,15
83603,836,1991,30,15
83901,839,1993,33,16
84001,840,1977,18,10
84002,840,1982,23,10
84101,841,1981,22,12
84102,841,1986,27,12
84201,842,1978,18,11
84301,843,1982,19,12
84501,845,1976,15,12
84502,845,1979,18,12
84503,845,1986,25,12
84801,848,1979,20,12
85201,852,1981,21,12
85401,854,1985,23,12
85402,854,1990,27,12
85403,854,1992,29,12
85404,854,1999,36,12
85501,855,1983,24,12
85502,855,1986,27,12
85601,856,1983,22,13
85602,856,1985,24,13
85603,856,1986,25,13
86201,862,1978,19,11
86202,862,1981,22,11
86601,866,1985,20,12
86602,866,1987,23,12
86603,866,1997,33,12
86701,867,1996,31,12
86901,869,1990,28,12
86902,869,1988,26,12
87501,875,1991,33,12
87601,876,1989,30,14
87602,876,1992,33,14
87603,876,1995,36,14
87604,876,1998,39,14
87901,879,1994,29,20
87902,879,1997,32,20
88001,880,1982,25,20
88002,880,1984,27,20
88003,880,1986,29,20
88601,886,1996,36,18
88602,886,1999,39,18
88701,887,1987,26,19
88702,887,1990,29,19
88901,889,1979,21,15
88902,889,1984,25,15
89301,893,1984,25,12
89302,893,1986,27,12
89303,893,1991,31,12
89401,894,1981,19,12
89402,894,1983,21,12
89403,894,1985,24,12
89501,895,1992,30,16
89502,895,1996,34,16
89601,896,1987,26,19
89602,896,1994,33,19
89801,898,1989,25,16
89802,898,1991,27,16
89803,898,1995,30,16
90001,900,1988,26,15
