,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#
10085,True,False,False,31.602,2,True,18,18,0
10086,False,True,False,23.684,2,True,18,18,0
10087,False,True,False,26.208000000000002,2,True,18,18,0
10088,False,True,False,2.903,1,True,21,21,
10089,False,True,False,82.509,3,True,19,19,
10090,True,False,False,55.68,2,True,19,19,
10091,False,True,False,17.234,2,True,18,18,0
10092,False,False,True,17.336000000000002,2,True,17,17,0
10093,True,False,False,40.377,2,True,21,21,
10094,True,False,False,1.677,,False,,,0
10095,True,False,False,94.507,2,True,23,23,0
10096,False,True,False,4.531,2,True,19,19,0
10097,True,False,False,5.09,2,True,17,17,
10098,True,False,False,4.711,2,False,,,
10099,True,False,False,8.019,2,True,19,19,
10100,True,False,False,43.142,3,True,16,16,0
10101,False,True,False,15.005,2,True,21,21,0
10102,False,True,False,13.74,,False,,,0
10103,False,True,False,6.926,2,True,18,18,0
10104,False,True,False,61.732,2,True,21,21,
10105,False,True,False,12.002,2,True,18,18,0
10106,True,False,False,14.593,2,True,18,18,
10107,True,False,False,11.884,3,False,,,
10108,False,False,False,33.208,2,True,24,24,0
10109,True,False,False,,4,True,22,22,
10110,True,False,False,3.902,1,False,,,0
10111,True,False,False,22.994,5,True,21,21,0
10112,True,False,False,12.247,3,False,,,0
10113,True,False,False,46.772,1,True,23,23,
10114,True,False,False,7.381,3,False,,,
10115,True,False,False,6.4350000000000005,2,True,20,20,0
10116,True,False,False,19.601,2,True,16,16,0
10117,True,False,False,9.238,1,True,20,20,
10118,True,False,False,26.558,1,True,20,20,0
10119,True,False,False,57.366,2,True,26,26,
10120,True,False,False,57.435,2,False,,,
10121,True,False,False,33.825,2,True,24,24,
10122,True,False,False,86.97500000000001,2,True,21,21,
10123,True,False,False,10.151,2,True,25,25,0
10124,True,False,False,2.632,2,True,27,27,0
10125,True,False,False,32.574,4,False,,,
10126,True,False,False,27.864,2,False,,,0
10127,True,False,False,6.657,2,False,,,
10128,True,False,False,5.437,3,True,36,36,0
10129,True,False,False,12.052,1,False,,,0
10130,True,False,False,27.121000000000002,3,True,23,23,
10131,False,True,False,47.612,2,True,19,19,0
10132,True,False,False,3.524,2,True,32,32,
10133,False,True,False,40.422000000000004,2,True,18,18,
10134,False,True,False,11.789,2,True,19,19,0
10135,False,True,False,7.141,2,True,18,18,0
10136,False,True,False,14.767,0,True,53,53,
10137,False,True,False,9.338000000000001,2,True,32,32,0
10138,True,False,False,25.742,2,True,22,22,
10139,True,False,False,53.854,2,True,24,24,0
10140,True,False,False,9.029,1,True,18,18,
10141,True,False,False,10.928,1,True,18,18,0
10142,True,False,False,1.483,2,True,25,25,
10143,True,False,False,44.101,4,True,28,28,0
10144,True,False,False,44.359,2,True,24,24,0
10145,True,False,False,35.334,0,True,21,21,
10146,True,False,False,84.014,4,False,,,
10147,True,False,False,,2,True,18,18,0
10148,True,False,False,38.129,2,True,20,20,0
10149,True,False,False,1.6640000000000001,6,True,17,17,1
10150,True,False,False,3.364,1,False,,,0
10151,True,False,False,16.451,3,True,26,26,
10152,True,False,False,74.063,0,True,24,24,0
10153,True,False,False,10.508000000000001,3,True,31,31,
10154,False,False,False,19.802,2,False,,,
10155,True,False,False,23.17,,True,22,22,1
10156,True,False,False,4.429,1,False,,,
10157,True,False,False,25.815,2,True,24,24,
10158,True,False,False,29.169,0,True,49,49,0
10159,True,False,False,3.052,6,True,22,22,
10160,True,False,False,76.273,5,True,25,25,
10161,True,False,False,45.526,0,True,22,22,0
10162,True,False,False,8.92,4,True,28,28,
10163,False,True,False,11.622,2,True,18,18,0
10164,True,False,False,4.472,0,True,23,23,
10165,False,True,False,66.477,2,True,19,19,0
10166,True,False,False,33.848,5,True,46,46,
10167,True,False,False,6.406,3,True,23,23,0
10168,True,False,False,25.274,5,False,,,
10169,True,False,False,37.627,10,True,25,25,
10170,True,False,False,76.75,1,True,41,41,
10171,True,False,False,6.88,2,True,23,23,
10172,False,True,False,35.334,,False,,,
10173,False,False,True,2.805,3,True,35,35,
10174,True,False,False,20.692,2,True,19,19,0
10175,True,False,False,48.159,3,True,17,17,0
10176,True,False,False,35.062,0,True,20,20,
10177,False,True,False,5.075,1,True,28,28,
10178,True,False,False,3.567,2,True,34,34,
10179,False,True,False,2.116,4,True,39,39,
10180,True,False,False,16.622,2,True,29,29,0
10181,True,False,False,18.709,3,True,24,24,0
10182,True,False,False,43.819,3,True,16,16,0
10183,True,False,False,2.341,2,True,21,21,0
10184,True,False,False,28.545,2,True,19,19,0
10185,False,True,False,77.168,3,True,24,24,
10186,False,True,False,10.379,4,False,,,
10187,False,True,False,10.139,4,True,29,29,0
10188,False,True,False,23.413,4,True,21,21,
10189,False,False,True,16.314,2,True,25,25,
10190,False,True,False,5.296,1,False,,,0
10191,True,False,False,5.346,1,True,24,24,
10192,True,False,False,15.22,2,True,21,21,0
10193,False,True,False,21.485,3,True,19,19,
10194,True,False,False,68.705,3,True,23,23,0
10195,False,True,False,65.468,1,True,26,26,0
10196,False,True,False,4.75,3,True,37,37,
10197,True,False,False,14.797,3,True,24,24,
10198,False,True,False,3.424,3,True,23,23,
10199,False,False,True,2.884,4,False,,,
10200,False,True,False,4.087,1,True,,,
10201,False,True,False,30.907,3,True,28,28,
10202,False,True,False,20.675,3,True,19,19,0
10203,False,True,False,22.003,0,False,,,
10204,False,True,False,1.341,,True,38,38,
10205,True,False,False,62.657000000000004,2,True,20,20,
10206,True,False,False,50.346000000000004,2,True,23,23,
10207,False,True,False,48.213,2,True,18,18,
10208,True,False,False,30.993000000000002,10,True,25,25,
10209,True,False,False,57.734,3,True,21,21,0
10210,True,False,False,51.742000000000004,4,True,18,18,0
10211,False,False,True,18.142,3,True,21,21,0
10212,False,False,True,33.25,3,True,19,19,0
10213,True,False,False,21.816,2,True,13,13,0
10214,True,False,False,47.718,4,True,20,20,0
10215,False,True,False,74.886,2,True,21,21,0
10216,False,True,False,5.147,2,False,,,
10217,False,True,False,56.962,2,False,,,0
10218,False,False,True,64.176,3,False,,,0
10219,False,False,True,7.212,2,True,18,18,0
10220,False,True,False,58.832,2,True,21,21,0
10221,False,False,True,57.209,2,True,25,25,0
10222,True,False,False,,2,True,22,22,
10223,True,False,False,23.407,2,True,18,18,
10224,False,True,False,36.809,2,False,,,1
10225,True,False,False,82.607,2,True,23,23,0
10226,False,True,False,12.931000000000001,4,True,14,14,0
10227,False,True,False,20.772000000000002,1,True,25,25,
10228,True,False,False,28.906000000000002,0,True,36,36,2
10229,True,False,False,50.066,2,True,17,17,
10230,True,False,False,19.978,2,True,17,17,0
10231,True,False,False,62.977000000000004,2,True,28,28,
10232,True,False,False,35.132,2,False,,,0
10233,True,False,False,35.418,2,True,20,20,0
10234,True,False,False,85.5,1,False,,,
10235,True,False,False,1.048,3,True,16,16,1
10236,True,False,False,18.07,2,True,25,25,4
10237,True,False,False,13.672,2,False,,,0
10238,True,False,False,,,True,35,35,
10239,True,False,False,47.230000000000004,3,True,18,18,
10240,True,False,False,40.828,3,True,18,18,0
10241,True,False,False,39.183,3,True,20,20,
10242,True,False,False,48.04,3,True,18,18,0
10243,False,False,True,,2,True,17,17,
10244,True,False,False,,2,True,18,18,0
10245,True,False,False,74.645,2,True,22,22,0
10246,True,False,False,0.499,2,True,22,22,
10247,True,False,False,4.316,2,True,27,27,
10248,True,False,False,8.933,2,False,,,
10249,True,False,False,8.092,3,True,23,23,
10250,True,False,False,60.884,5,False,,,
10251,True,False,False,62.615,3,True,21,21,0
10252,True,False,False,9.169,2,True,21,21,
10253,True,False,False,61.991,1,True,18,18,0
10254,True,False,False,31.721,2,True,17,17,1
10255,True,False,False,32.175,2,True,25,25,
10256,True,False,False,5.324,1,False,,,0
10257,True,False,False,1.035,2,True,21,21,
10258,True,False,False,7.297,2,True,15,15,3
10259,True,False,False,31.899,2,True,18,18,0
10260,True,False,False,69.047,0,True,22,22,1
10261,True,False,False,11.827,2,False,,,0
10262,False,False,True,93.436,2,False,,,
10263,True,False,False,83.325,3,True,25,25,
10264,True,False,False,86.129,3,True,22,22,
10265,True,False,False,77.16,,True,26,26,
10266,True,False,False,60.315,4,True,26,26,1
10267,True,False,False,38.221000000000004,4,True,24,24,1
10268,True,False,False,81.557,2,True,27,27,1
10269,False,True,False,88.398,2,True,23,23,0
10270,True,False,False,81.595,0,True,26,26,2
10271,True,False,False,63.85,3,True,22,22,0
10272,False,True,False,61.36,3,True,23,23,0
10273,True,False,False,86.897,2,True,21,21,
10274,False,True,False,67.07300000000001,2,True,24,24,
10275,True,False,False,70.807,2,True,29,29,0
10276,True,False,False,74.523,2,False,,,0
10277,True,False,False,22.497,2,True,19,19,
10278,False,True,False,69.45,2,True,24,24,0
10279,True,False,False,97.09700000000001,2,False,,,0
10280,True,False,False,75.214,2,True,23,23,0
10281,True,False,False,66.173,2,True,24,24,0
10282,True,False,False,27.257,2,True,23,23,0
10283,False,False,True,,2,False,,,
10284,True,False,False,,2,True,23,23,
10285,True,False,False,9.213000000000001,3,True,18,18,0
10286,True,False,False,,,False,,,
10287,True,False,False,,,False,,,
10288,True,False,False,,,True,24,24,
10289,True,False,False,6.0520000000000005,2,False,,,0
10290,True,False,False,42.644,2,True,24,24,0
10291,True,False,False,29.031000000000002,4,True,27,27,0
10292,True,False,False,44.137,2,False,,,0
10293,True,False,False,14.497,0,False,,,
10294,False,True,False,33.397,2,True,22,22,0
10295,True,False,False,41.729,3,True,24,24,0
10296,True,False,False,73.916,2,True,19,19,0
10297,True,False,False,34.85,0,True,,,
10298,False,True,False,25.532,2,True,17,17,0
10299,False,True,False,51.524,2,False,,,0
10300,True,False,False,14.884,2,True,25,25,
10301,True,False,False,22.599,2,True,30,30,0
10302,False,False,True,5.871,3,True,17,17,0
10303,True,False,False,54.153,4,False,,,0
10304,True,False,False,79.191,2,True,24,24,
10305,True,False,False,62.705,4,True,22,22,1
10306,True,False,False,52.482,2,True,28,28,
10307,True,False,False,42.882,3,True,25,25,0
10308,True,False,False,77.202,2,True,27,27,0
10309,True,False,False,31.559,4,True,22,22,0
10310,True,False,False,28.229,2,True,22,22,
10311,True,False,False,49.359,2,True,24,24,1
10312,True,False,False,33.103,2,True,24,24,0
10313,True,False,False,6.229,4,True,41,41,0
10314,True,False,False,12.615,1,True,20,20,
10315,True,False,False,7.57,2,True,25,25,
10316,True,False,False,15.965,1,False,,,0
10317,True,False,False,8.416,3,True,22,22,
10318,False,True,False,8.304,2,True,23,23,
10319,True,False,False,80.83,0,False,,,
10320,True,False,False,4.696,1,False,,,1
10321,True,False,False,,,False,,,
10322,True,False,False,9.822000000000001,3,True,21,21,
10323,False,True,False,4.183,2,False,,,
10324,False,True,False,,,False,,,
10325,False,True,False,22.148,2,False,,,
10326,True,False,False,5.596,3,True,20,20,
10327,False,True,False,4.676,3,True,31,31,
10328,True,False,False,30.231,2,True,21,21,0
10329,False,True,False,5.476,0,True,21,21,
10330,False,True,False,2.743,4,True,13,13,0
