code,birthyear,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44,45,48,49
13802,1991,1524.600652,,1938.795303,,2808.098773,,45999.97045,,97854.70697,,98085.87923,,,,,,,,,,,,,,,,,
13803,1993,1938.795303,,2808.098773,,51519.9669,,67608.70664,,,,,,,,,,,,,,,,,,,,,
14001,1993,4846.988258,,28080.98773,,23919.98463,,37362.7063,,39234.35169,,,,,,,,,,,,,,,,,,,
14302,1988,,26291.71391,,,,19387.95303,,,,9199.99409,,8895.882452,,,,,,,,,,,,,,,,
14303,1990,,8131.203475,,19387.95303,,26208.92188,,33119.97872,,37362.7063,,37357.92618,,,,,,,,,,,,,,,,
14304,1990,,,,14540.96477,,16380.57618,,55199.96454,,67608.70664,,,,,,,,,,,,,,,,,,
14401,1992,,8724.578865,,6271.420593,,16559.98936,,62271.17716,,73052.65701,,,,,,,,,,,,,,,,,,
14402,1994,,8424.296319,,2299.998522,,15567.79429,,16205.49309,,,,,,,,,,,,,,,,,,,,
14403,1997,4599.997045,,17791.7649,,44351.87582,,,,,,,,,,,,,,,,,,,,,,,
14701,1987,4466.25304,,2629.171391,,30492.01303,,72704.82387,,79562.79857,,82799.94681,,,,88703.75165,,,,,,,,,,,,,
14702,1990,,2541.001086,,4362.289432,,,,9199.99409,,71167.05962,,94674.19647,,,,,,,,,,,,,,,,
14901,1991,3049.201303,,12602.16947,,37909.33343,,44159.97163,,54109.20501,,50322.32065,,,,,,,,,,,,,,,,,
14902,1993,,,,,57039.96336,,80062.94207,,,,,,,,,,,,,,,,,,,,,
15301,1985,,,33496.8978,,22085.03968,,21344.40912,,33928.91781,,,,,,37362.7063,,,,,,,,,,,,,
15302,1986,,1116.56326,,7887.514172,,14229.60608,,7270.482387,,28080.98773,,23919.98463,,,,19617.17585,,,,,,,,,,,,
15701,1985,,,,,21033.37113,,,,,,14040.49386,,,,16012.58841,,,,,,,,,,,,,
15702,1987,,,3680.839947,,15246.00652,,55255.66614,,66458.33763,,91999.9409,,,,174335.283,,,,,,,,,,,,,
15901,1985,,,,,,,24393.61043,,,,,,,,,,,,,,,,,,,,,
15902,1987,,,21033.37113,,20328.00869,,33928.91781,,46801.64621,,59799.96158,,,,72498.25856,,,,,,,,,,,,,
15903,1990,,,,,,,,,,,,115144.293,,,,,,,,,,,,,,,,
15904,1993,,,,,64399.95863,,62271.17716,,76762.862,,,,,,,,,,,,,,,,,,,
15905,1993,,,2808.098773,,,,,,59704.44823,,,,,,,,,,,,,,,,,,,
16001,1990,,6098.402607,,22683.90505,,,,,,35583.52981,,48616.47927,,,,,,,,,,,,,,,,
16101,1994,,14040.49386,,,,,,46910.63789,,,,,,,,,,,,,,,,,,,,
16102,1996,,16559.98936,,,,34116.82756,,,,,,,,,,,,,,,,,,,,,,
16501,1988,,6310.011338,,20328.00869,,29081.92955,,,,,,,,,,,,,,,,,,,,,,
16502,1992,,1938.795303,,22464.79018,,39559.97459,,49816.94173,,63969.05167,,,,,,,,,,,,,,,,,,
16503,1998,,35583.52981,,42646.03445,,,,,,,,,,,,,,,,,,,,,,,,
16701,1985,17780.28992,,,,,,,,,,,,,,,,,,,,,,,,,,,
16702,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17201,1993,,,,,9199.99409,,889.5882452,,1705.841378,,,,,,,,,,,,,,,,,,,
17401,1985,17780.28992,,25133.83899,,50480.0907,,32524.8139,,48469.88258,,70202.46932,,,,96965.11873,,,,,,,,,,,,,
17402,1990,,10164.00434,,7755.181213,,,,,,,,,,,,,,,,,,,,,,,,
17501,1982,,16625.08989,,5334.086976,,6699.379561,,18930.03401,,10164.00434,,23265.54364,,,,8279.994681,,,,38381.431,,,,,,,,
17502,1983,7142.631212,,18965.64258,,50245.3467,,52583.42782,,25410.01086,,24234.94129,,,,68999.95567,,,,102350.4827,,,,,,,,,
17503,1986,,10049.06934,,6310.011338,,10164.00434,,19387.95303,,37441.31697,,73599.95272,,,,79321.62407,,,,,,,,,,,,
17504,1992,,,,1497.652679,,2299.998522,,15567.79429,,29852.22411,,,,,,,,,,,,,,,,,,
17901,1981,9817.897343,,9851.90512,,23707.05323,,,,,,,,,,,,,,,,,,,,,,,
17902,1983,9236.16105,,8890.14496,,18981.57542,,36808.39947,,35574.01521,,46531.08728,,,,45999.97045,,,,55439.84478,,,,,,,,,
18001,1978,,16301.52217,,13090.52979,,24383.46517,,36745.9325,,41312.84062,,52583.42782,,,,60587.35323,,78158.74918,,82523.94699,,,,,,,,
18002,1982,,36944.6442,,,,43545.96714,,,,,,42653.49667,,,,36799.97636,,,,,,,,,,,,
18003,1984,,,,,,,,,,14540.96477,,37441.31697,,,,16902.17666,,,,,,,,,,,,
18301,1984,,29633.81653,,33496.8978,,42066.74225,,60984.02607,,48469.88258,,,,,,57823.23594,,,,,,,,,,,,
18302,1987,2791.40815,,,,,,,,,,,,,,,,,,,,,,,,,,,
18303,1991,144926.5051,,11632.77182,,,,36799.97636,,,,,,,,,,,,,,,,,,,,,
18401,1999,,,8529.206889,,,,,,,,,,,,,,,,,,,,,,,,,
18601,1991,,,5816.38591,,2340.082311,,140840.8695,,66719.11839,,,,,,,,,,,,,,,,,,,
18801,1985,2963.381653,,11165.6326,,39437.57086,,38115.01629,,29081.92955,,28080.98773,,,,24018.88262,,,,,,,,,,,,,
19001,1995,936.0329243,,,,4447.941226,,25587.62067,,,,,,,,,,,,,,,,,,,,,
19201,1991,3049.201303,,3392.891781,,19656.69141,,45999.97045,,64939.9419,,66527.81374,,,,,,,,,,,,,,,,,
19202,1994,,5616.197546,,2759.998227,,,,,,,,,,,,,,,,,,,,,,,,
19203,1998,,,,59704.44823,,,,,,,,,,,,,,,,,,,,,,,,
19701,1989,4206.674225,,10164.00434,,,,,,,,,,,,,,,,,,,,,,,,,
19702,1990,,,,12602.16947,,26208.92188,,45999.97045,,53375.29471,,19617.17585,,,,,,,,,,,,,,,,
20001,1983,21551.04245,,16594.93726,,19539.85705,,24188.3768,,54885.62346,,60102.6544,,,,73599.95272,,,,85292.06889,,,,,,,,,
20002,1987,4019.627736,,7361.679894,,26426.4113,,22296.14599,,25272.88896,,29439.98109,,,,12793.81033,,,,,,,,,,,,,
20302,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402,1984,,,,,,,,40656.01738,,26173.73659,,32761.15235,,,,52485.70647,,,,,,,,,,,,
20501,1978,,,,,,,,,,,,,,,,,,,,,,,,23881.77929,,,,
20502,1981,,,,,,,33496.8978,,33653.3938,,42688.81825,,,,38377.3499,,,,66719.11839,,,,,,,,,
20503,1986,,,,7887.514172,,16262.40695,,16964.4589,,50545.77791,,55199.96454,,,,,,,,,,,,,,,,
20801,1975,1283.04938,,,,,,23562.95362,,,,,,,,,,,,,,,,,,,,,
21101,1996,,1839.998818,,889.5882452,,42646.03445,,,,,,,,,,,,,,,,,,,,,,
21102,1997,7359.995272,,8895.882452,,25587.62067,,,,,,,,,,,,,,,,,,,,,,,
21103,1999,4447.941226,,6823.365512,,,,,,,,,,,,,,,,,,,,,,,,,
21104,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22101,1986,,,,5258.342782,,,,,,7020.246932,,,,,,,,,,,,,,,,,,
22102,1987,,,3155.005669,,15246.00652,,4846.988258,,1012.787624,,16099.98966,,,,24523.17565,,,,,,,,,,,,,
22103,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22104,1991,,,7755.181213,,14040.49386,,15639.98995,,36473.11805,,40940.19307,,,,,,,,,,,,,,,,,
22401,1974,,603.7879435,,,,,,,,4925.95256,,1422.423194,,13398.75912,,23136.70824,,,,19387.95303,,,,16099.98966,,16205.49309,,
22402,1977,,,,,22908.42713,,32659.06547,,31435.55258,,27914.0815,,36808.39947,,35574.01521,,,,28080.98773,,,,34693.94156,,,,,
22403,1979,3667.842488,,,,27092.73908,,30819.1692,,32380.33454,,29446.71958,,,,33928.91781,,,,30359.9805,,,,,,,,,
22701,1975,,,,,,,,,3078.72035,,,,,,,,,,,,,,2299.998522,,,,,
22702,1977,,,,,3272.632448,,23398.27466,,,,,,6310.011338,,,,,,,,,,26687.64736,,,,,
22703,1985,6519.439637,,25457.64233,,25240.04535,,,,,,23400.82311,,,,26687.64736,,,,,,,,,,,,,
22704,1994,,280.8098773,,6439.995863,,,,,,,,,,,,,,,,,,,,,,,,
22801,1980,,23447.75696,,9236.16105,,26077.75855,,19539.85705,,,,,,,,21634.52898,,,,,,,,,,,,
22802,1986,,,,,,508.2002172,,,,,,,,,,,,,,,,,,,,,,
22803,1987,4466.25304,,315.5005669,,15327.31855,,,,11232.39509,,11039.99291,,,,14926.11206,,,,,,,,,,,,,
22804,1990,,914.760391,,,,280.8098773,,551.9996454,,,,,,,,,,,,,,,,,,,,
22901,1992,,3877.590607,,23400.82311,,29439.98109,,35583.52981,,42646.03445,,,,,,,,,,,,,,,,,,
23101,1990,,1016.400434,,9693.976517,,30792.67511,,40479.974,,48927.35349,,46057.7172,,,,,,,,,,,,,,,,
23102,1993,4846.988258,,8424.296319,,38639.97518,,57823.23594,,51175.24134,,,,,,,,,,,,,,,,,,,
23601,1988,,,,3049.201303,,25204.33894,,,,37719.97577,,40921.05928,,,,,,,,,,,,,,,,
23602,1990,,,,,,,,9199.99409,,53375.29471,,,,,,,,,,,,,,,,,,
23603,1995,,,50599.96749,,31135.58858,,,,,,,,,,,,,,,,,,,,,,,
23701,1981,26181.05958,,21551.04245,,8890.14496,,,,10516.68556,,18295.20782,,,,12168.42802,,,,,,,,,,,,,
23901,1980,,261.8105958,,,,,,8374.224451,,,,,,,,,,,,,,,,,,,,
23902,1983,1231.48814,,,,,,,,,,,,,,,,,,,,,,,,,,,
23903,1984,,14224.23194,,17865.01216,,,,28459.21216,,,,,,,,,,,,,,,,,,,,
24001,1984,,8297.46863,,11165.6326,,36808.39947,,,,,,,,,,,,,,,,,,,,,,
24002,1986,,2233.12652,,17878.36546,,2032.800869,,4846.988258,,18720.65849,,32199.97931,,,,44351.87582,,,,,,,,,,,,
24201,1986,,13398.75912,,18930.03401,,30492.01303,,38775.90607,,,,36799.97636,,,,4264.603445,,,,,,,,,,,,
24401,1975,4981.250534,,4292.90058,,,,35344.43043,,43102.0849,,65194.39637,,83742.24451,,,,,,,,,,140840.8695,,174335.283,,,
24402,1979,1358.460181,,15708.63575,,25861.25094,,29633.81653,,30147.20802,,35756.73091,,,,45561.68963,,,,47839.96927,,,,,,,,,
24403,1991,40.65601738,,,,7020.246932,,9199.99409,,8895.882452,,24734.69998,,,,,,,,,,,,,,,,,
24501,1992,,4846.988258,,9360.329243,,65319.95804,,22239.70613,,,,,,,,,,,,,,,,,,,,
24502,1996,,9199.99409,,10675.05894,,,,,,,,,,,,,,,,,,,,,,,,
24503,1999,4447.941226,,24734.69998,,,,,,,,,,,,,,,,,,,,,,,,,
24901,1982,,21551.04245,,43858.04847,,27914.0815,,18404.19974,,17787.0076,,36352.41194,,,,48437.96888,,,,76762.862,,,,,,,,
24902,1984,,2370.705323,,3349.68978,,13671.69123,,25410.01086,,,,2808.098773,,,,56933.64769,,,,,,,,,,,,
24903,1993,15510.36243,,18720.65849,,,,48927.35349,,55439.84478,,,,,,,,,,,,,,,,,,,
24904,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001,1982,,9605.607492,,14224.23194,,22331.2652,,26291.71391,,32524.8139,,38775.90607,,,,32199.97931,,,,32410.98618,,,,,,,,
25002,1986,,7815.942821,,6310.011338,,,,26173.73659,,35569.25112,,42319.97281,,,,32410.98618,,,,,,,,,,,,
25201,1983,,,237.0705323,,2233.12652,,11568.35412,,12196.80521,,11632.77182,,16380.57618,,11959.99232,,,,14926.11206,,,,,,,,,
25202,1991,3049.201303,,,,18720.65849,,,,,,,,,,,,,,,,,,,,,,,
25401,1981,,,3078.72035,,4741.410645,,10049.06934,,15615.17472,,21344.40912,,13571.56712,,13104.46094,,,,18681.35315,,,,,,,,,
25402,1982,,16521.64489,,20743.67157,,24564.39172,,23872.87623,,25410.01086,,31020.72485,,,,6439.995863,,14233.41192,,25587.62067,,,,,,,,
25403,1989,15775.02834,,,,7270.482387,,,,,,,,,,,,,,,,,,,,,,,
25404,1994,,15725.35313,,19319.98759,,15567.79429,,46910.63789,,,,,,,,,,,,,,,,,,,,
25405,1995,2340.082311,,3679.997636,,23129.29438,,28999.30342,,,,,,,,,,,,,,,,,,,,,
25501,1983,9851.90512,,,,,,,,,,,,,,,,,,,,,,,,,,,
25502,1984,,,,15631.88564,,19981.70257,,36590.41564,,53316.87084,,51481.81084,,,,57823.23594,,,,,,,,,,,,
25503,1987,14515.32238,,10096.01814,,11180.40478,,36837.11076,,58970.07423,,90159.94208,,,,104909.2447,,,,,,,,,,,,,
25504,1991,3049.201303,,4846.988258,,,,,,48708.51478,,52028.16203,,,,,,,,,,,,,,,,,
25505,1997,12879.99173,,53375.29471,,46910.63789,,,,,,,,,,,,,,,,,,,,,,,
25601,1980,,10472.42383,,18472.3221,,41487.34315,,37963.15084,,38911.73658,,38623.21651,,,,58970.07423,,,,72056.64786,,,,,,,,
25602,2001,17058.41378,,,,,,,,,,,,,,,,,,,,,,,,,,,
25801,1980,,3927.158937,,8620.41698,,9482.821291,,11165.6326,,27343.38246,,13213.20565,,,,21528.75726,,,,42700.23577,,,,,,,,
25802,1981,,,3078.72035,,10668.17395,,33496.8978,,49428.42215,,45738.01955,,,,6084.214008,,,,23129.29438,,,,,,,,,
26201,1985,,,6699.379561,,7887.514172,,35574.01521,,,,33697.18527,,,,43589.82402,,,,,,,,,,,,,
26501,1990,,1829.520782,,4846.988258,,29953.05358,,55199.96454,,,,,,,,,,,,,,,,,,,,
