,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,momexpectyos,cfemale1,m_HGC_ya,HGC_ya,piatreadingrecognition,piatreadingcomprehension,piatmathraw,dad_distance_ya,lnexpectedyos,numberofsiblings,behaveproblemindexpercentilescor,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,phispanic,pblack,psex,pbizowner,phoursworked79,phoursworked2018,pjobnumberavg,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,p1stbirthaftermarriage,abort_#,foreign_lang_child,pfamilyattitudetofemaleworkingla,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,mincome20_40,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
5196,5196.0,546504.0,5465.0,1984.0,24.0,4.0,1.0,5.0,3.0,75.0,58.0,54.0,5.0,1.386294,0.0,697.0,5465.0,,36.0,5.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,280,0,1.33333,2.223,2.0,1.0,,,1.0,0.0,1.0,,0.0,,3.0,,2.0,1.0,1.0,19088.92493,0.0,0.0,0.0,0.0,0.0
5197,5197.0,546505.0,5465.0,1990.0,30.0,4.0,1.0,5.0,3.0,82.0,60.0,64.0,5.0,1.386294,0.0,837.0,5465.0,,36.0,5.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,280,0,1.33333,2.223,2.0,1.0,,,1.0,0.0,1.0,,0.0,,3.0,,2.0,1.0,1.0,19088.92493,0.0,0.0,0.0,0.0,0.0
5198,5198.0,546506.0,5465.0,1992.0,33.0,4.0,0.0,5.0,3.0,41.0,30.0,40.0,5.0,1.386294,1.0,780.0,5465.0,,36.0,5.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,2.223,2.0,1.0,,,0.0,0.0,1.0,3.0,0.0,,3.0,,2.0,1.0,1.0,19088.92493,0.0,0.0,0.0,0.0,0.0
5199,5199.0,546601.0,5466.0,1981.0,22.0,5.0,0.0,5.0,5.0,40.0,40.0,58.0,0.0,1.609438,1.0,274.0,5466.0,,15.0,5.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,10.986,2.0,1.0,20.0,20.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,,2.0,2.0,0.666666667,17532.39496,1.0,0.0,1.0,0.0,0.0
5200,5200.0,546602.0,5466.0,1986.0,27.0,5.0,0.0,5.0,5.0,49.0,43.0,54.0,0.0,1.609438,1.0,746.0,5466.0,,15.0,5.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,10.986,2.0,1.0,20.0,20.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,,2.0,2.0,0.666666667,17532.39496,1.0,0.0,1.0,0.0,0.0
5201,5201.0,546701.0,5467.0,1980.0,17.0,3.0,1.0,6.0,3.0,59.0,33.0,45.0,5.0,1.098612,1.0,921.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,16.486,1.0,1.0,21.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
5202,5202.0,546702.0,5467.0,1986.0,23.0,3.0,1.0,6.0,3.0,40.0,27.0,23.0,5.0,1.098612,1.0,681.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,16.486,1.0,1.0,21.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
5203,5203.0,546703.0,5467.0,1988.0,24.0,3.0,1.0,6.0,3.0,23.0,21.0,18.0,5.0,1.098612,1.0,707.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,40,2.82143,16.486,1.0,1.0,21.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
5204,5204.0,546704.0,5467.0,1991.0,27.0,4.0,1.0,6.0,3.0,57.0,49.0,54.0,5.0,1.386294,5.0,983.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,1,-93,1458,6.21429,16.486,1.0,1.0,21.0,21.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
5205,5205.0,546705.0,5467.0,1993.0,30.0,5.0,0.0,6.0,3.0,46.0,38.0,54.0,5.0,1.609438,5.0,1000.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,1,-93,1458,6.21429,16.486,1.0,1.0,21.0,21.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
5206,5206.0,546706.0,5467.0,1996.0,32.0,2.0,1.0,6.0,,47.0,28.0,35.0,5.0,0.6931472,1.0,760.0,5467.0,35.0,29.0,6.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,950,7.3,16.486,1.0,1.0,21.0,21.0,1.0,0.0,0.0,2.66667,0.0,1.0,3.0,1.0,4.0,1.0,0.666666667,7938.990017,0.0,0.0,0.0,0.0,0.0
