,C0000100,C0000200,Y1211300,HGC_ya
804,91201,912,8,5
805,91202,912,8,5
806,91401,914,8,5
807,91402,914,8,5
808,91801,918,7,5
809,92301,923,6,4
810,92302,923,6,4
811,92303,923,6,4
812,92801,928,8,5
813,92802,928,8,5
814,93001,930,-7,
815,93002,930,-7,
816,93003,930,2,2
817,93004,930,2,2
818,93201,932,6,4
819,93202,932,6,4
820,93203,932,7,5
821,93501,935,8,5
822,93502,935,8,5
823,93503,935,5,3
824,93601,936,6,4
825,93602,936,7,5
826,93603,936,10,7
827,93901,939,3,3
828,93902,939,3,3
829,93903,939,2,2
830,93904,939,2,2
831,94001,940,8,5
832,94002,940,8,5
833,94201,942,6,4
834,94202,942,7,5
835,94901,949,7,5
836,94902,949,6,4
837,95001,950,3,3
838,95201,952,6,4
839,95301,953,2,2
840,95302,953,2,2
841,95401,954,6,4
842,95402,954,6,4
843,96201,962,8,5
844,96202,962,-7,
845,96203,962,2,2
846,96401,964,-7,
847,96601,966,6,4
848,96602,966,-7,
849,96701,967,6,4
850,96702,967,6,4
851,97101,971,8,5
852,97102,971,6,4
853,97401,974,8,5
854,97402,974,8,5
855,97501,975,3,3
856,97502,975,2,2
857,97801,978,8,5
858,97802,978,10,7
859,97901,979,3,3
860,97902,979,6,4
861,98101,981,6,4
862,98102,981,8,5
863,98601,986,8,5
864,98801,988,-7,
865,99201,992,10,7
866,99202,992,10,7
867,99203,992,10,7
868,99501,995,8,5
869,99502,995,2,2
870,99801,998,2,2
871,99802,998,6,4
872,99803,998,6,4
873,99804,998,-7,
874,99805,998,-7,
875,99901,999,8,5
876,99902,999,8,5
877,100501,1005,6,4
878,100502,1005,6,4
879,100503,1005,2,2
880,100504,1005,2,2
881,100505,1005,6,4
882,100801,1008,-7,
883,100901,1009,8,5
884,101501,1015,8,5
885,101502,1015,8,5
886,101503,1015,10,7
887,101504,1015,7,5
888,101601,1016,-7,
889,101701,1017,8,5
890,101702,1017,6,4
891,101801,1018,-7,
892,101802,1018,-7,
893,101901,1019,6,4
894,101902,1019,2,2
895,101903,1019,2,2
896,102401,1024,10,7
897,102501,1025,-7,
898,102502,1025,-7,
899,102503,1025,3,3
900,102504,1025,7,5
901,102505,1025,2,2
902,103001,1030,2,2
903,103002,1030,3,3
904,103003,1030,4,2
905,103004,1030,3,3
906,103301,1033,3,3
907,103302,1033,1,1
908,103303,1033,-7,
909,103304,1033,2,2
910,103401,1034,2,2
911,103402,1034,3,3
912,103403,1034,2,2
913,103501,1035,6,4
914,103502,1035,2,2
915,103601,1036,5,3
916,103801,1038,3,3
917,103802,1038,8,5
918,103901,1039,3,3
919,104001,1040,4,2
920,104801,1048,12,9
921,104802,1048,8,5
922,104901,1049,10,7
923,104902,1049,6,4
924,104903,1049,6,4
925,105001,1050,2,2
926,105601,1056,7,5
927,105602,1056,7,5
928,105603,1056,3,3
929,105701,1057,4,2
930,105702,1057,6,4
931,105703,1057,7,5
932,105704,1057,6,4
933,106301,1063,6,4
934,106302,1063,7,5
935,106501,1065,11,8
936,106502,1065,8,5
937,106503,1065,8,5
938,106901,1069,3,3
939,106902,1069,2,2
940,107001,1070,2,2
941,107002,1070,2,2
942,107003,1070,3,3
943,107101,1071,7,5
944,107102,1071,5,3
945,107103,1071,6,4
946,107401,1074,-7,
947,107601,1076,9,6
948,107701,1077,2,2
949,107702,1077,2,2
950,107703,1077,6,4
951,107901,1079,3,3
952,108001,1080,8,5
953,108002,1080,8,5
954,108003,1080,3,3
955,108201,1082,10,7
956,108202,1082,6,4
957,108301,1083,8,5
958,108302,1083,6,4
959,108601,1086,-7,
960,108701,1087,8,5
961,108702,1087,6,4
962,108703,1087,2,2
963,108704,1087,1,1
964,108705,1087,-7,
965,108801,1088,6,4
966,108802,1088,6,4
967,108803,1088,2,2
968,108804,1088,8,5
969,108805,1088,8,5
970,108806,1088,2,2
971,109001,1090,8,5
972,109002,1090,6,4
973,109003,1090,3,3
974,109301,1093,-7,
975,109302,1093,-7,
976,109303,1093,-7,
977,110101,1101,10,7
978,110102,1101,12,9
979,110301,1103,6,4
980,110401,1104,7,5
981,110801,1108,7,5
982,110802,1108,3,3
983,111001,1110,2,2
984,111101,1111,3,3
985,111102,1111,8,5
986,111201,1112,3,3
987,111202,1112,10,7
988,111601,1116,6,4
989,111602,1116,8,5
990,111701,1117,-7,
991,111702,1117,8,5
992,111703,1117,6,4
993,111801,1118,7,5
994,112101,1121,-7,
995,112102,1121,-7,
996,112301,1123,4,2
997,112302,1123,11,8
998,112303,1123,6,4
999,112304,1123,8,5
1000,112305,1123,8,5
1001,112601,1126,-7,
1002,112602,1126,-7,
1003,112603,1126,-7,
1004,112801,1128,-7,
1005,113001,1130,8,5
1006,113002,1130,3,3
1007,113101,1131,3,3
1008,113201,1132,2,2
1009,113202,1132,7,5
1010,113301,1133,-7,
1011,113302,1133,-7,
1012,113303,1133,-7,
1013,113501,1135,9,6
1014,113502,1135,-7,
1015,113601,1136,-7,
1016,113602,1136,-7,
1017,114101,1141,4,2
1018,114102,1141,5,3
1019,114701,1147,6,4
1020,114702,1147,6,4
1021,115201,1152,2,2
1022,115202,1152,7,5
1023,115203,1152,6,4
1024,115501,1155,8,5
1025,115701,1157,8,5
1026,115702,1157,6,4
1027,115801,1158,10,7
1028,115802,1158,9,6
1029,115901,1159,8,5
1030,115902,1159,2,2
1031,116001,1160,12,9
1032,116002,1160,8,5
1033,116003,1160,-7,
1034,116004,1160,10,7
1035,116005,1160,6,4
1036,116006,1160,6,4
1037,116101,1161,3,3
1038,116102,1161,6,4
1039,116201,1162,-7,
1040,116301,1163,8,5
1041,116302,1163,3,3
1042,116401,1164,6,4
1043,116402,1164,3,3
1044,116501,1165,7,5
1045,116502,1165,3,3
1046,116503,1165,6,4
1047,116601,1166,7,5
1048,116602,1166,6,4
1049,116701,1167,-7,
1050,116702,1167,-7,
1051,116801,1168,6,4
1052,117001,1170,6,4
1053,117002,1170,6,4
1054,117003,1170,10,7
1055,117004,1170,6,4
1056,117201,1172,3,3
1057,117202,1172,3,3
1058,117203,1172,3,3
1059,117701,1177,8,5
1060,117702,1177,5,3
1061,117901,1179,7,5
1062,117902,1179,2,2
1063,118101,1181,3,3
1064,118102,1181,8,5
1065,118103,1181,11,8
1066,118401,1184,8,5
1067,118402,1184,8,5
1068,118403,1184,2,2
1069,118701,1187,10,7
1070,118702,1187,7,5
1071,118703,1187,7,5
1072,118901,1189,10,7
1073,118902,1189,7,5
1074,119101,1191,6,4
1075,119501,1195,6,4
1076,119502,1195,6,4
1077,119901,1199,5,3
1078,119902,1199,3,3
1079,120001,1200,13,6
1080,120002,1200,6,4
1081,120201,1202,7,5
1082,120202,1202,3,3
1083,120301,1203,3,3
1084,120302,1203,2,2
1085,120701,1207,8,5
1086,120702,1207,8,5
1087,120901,1209,3,3
1088,120902,1209,6,4
1089,120903,1209,6,4
1090,121001,1210,2,2
1091,121002,1210,1,1
1092,121003,1210,2,2
1093,121004,1210,6,4
1094,121005,1210,2,2
1095,121006,1210,2,2
1096,121201,1212,2,2
1097,121202,1212,6,4
1098,121301,1213,2,2
1099,121302,1213,2,2
1100,121401,1214,6,4
1101,121402,1214,-7,
1102,121403,1214,-7,
1103,121404,1214,-7,
1104,121601,1216,3,3
1105,121602,1216,-7,
1106,121603,1216,10,7
1107,121604,1216,6,4
1108,122001,1220,3,3
1109,122002,1220,6,4
1110,122003,1220,6,4
1111,122101,1221,6,4
1112,122102,1221,3,3
1113,122103,1221,3,3
1114,122301,1223,6,4
1115,122302,1223,3,3
1116,122401,1224,6,4
1117,122402,1224,6,4
1118,122403,1224,7,5
1119,122501,1225,6,4
1120,122502,1225,3,3
1121,122601,1226,3,3
1122,122602,1226,7,5
1123,122701,1227,8,5
1124,122702,1227,2,2
1125,122703,1227,-7,
1126,122704,1227,3,3
1127,122801,1228,-7,
1128,122802,1228,-7,
1129,122803,1228,3,3
1130,123001,1230,8,5
1131,123002,1230,3,3
1132,123101,1231,9,6
1133,123102,1231,6,4
1134,123301,1233,6,4
1135,123302,1233,5,3
1136,123401,1234,7,5
1137,123402,1234,2,2
1138,123601,1236,8,5
1139,123602,1236,8,5
1140,123603,1236,3,3
1141,123801,1238,10,7
1142,123802,1238,6,4
1143,123803,1238,5,3
1144,123804,1238,6,4
1145,123805,1238,5,3
1146,124101,1241,-7,
1147,124102,1241,-7,
1148,124103,1241,6,4
1149,124104,1241,6,4
1150,124201,1242,3,3
1151,124401,1244,7,5
1152,124402,1244,2,2
1153,124403,1244,3,3
1154,124601,1246,3,3
1155,124602,1246,3,3
1156,125001,1250,7,5
1157,125002,1250,2,2
1158,125003,1250,7,5
1159,125101,1251,6,4
1160,125301,1253,14,7
1161,125401,1254,-7,
1162,125402,1254,-7,
1163,125403,1254,-7,
1164,125404,1254,-7,
1165,125501,1255,-7,
1166,125801,1258,9,6
1167,125802,1258,8,5
1168,125803,1258,10,7
1169,125804,1258,2,2
1170,125901,1259,9,6
1171,126101,1261,7,5
1172,126301,1263,2,2
1173,126901,1269,7,5
1174,126902,1269,6,4
1175,126903,1269,3,3
1176,127001,1270,8,5
1177,127002,1270,6,4
1178,127101,1271,-7,
1179,127701,1277,-7,
1180,127901,1279,8,5
1181,127902,1279,8,5
1182,127903,1279,8,5
1183,128601,1286,3,3
1184,128602,1286,8,5
1185,129001,1290,4,2
1186,129002,1290,6,4
1187,129301,1293,10,7
1188,129302,1293,3,3
1189,129303,1293,6,4
1190,129501,1295,2,2
1191,129502,1295,2,2
1192,129503,1295,4,2
1193,129504,1295,2,2
1194,129601,1296,3,3
1195,129602,1296,-7,
1196,129701,1297,3,3
1197,129702,1297,7,5
1198,129703,1297,3,3
1199,129801,1298,-7,
1200,129802,1298,-7,
1201,130201,1302,-7,
1202,130401,1304,3,3
1203,130402,1304,-7,
1204,130403,1304,-7,
1205,130501,1305,8,5
1206,130502,1305,6,4
1207,130601,1306,2,2
1208,130602,1306,6,4
1209,130603,1306,4,2
1210,130604,1306,3,3
1211,130801,1308,2,2
1212,130802,1308,-7,
1213,130803,1308,3,3
1214,131001,1310,8,5
1215,131002,1310,8,5
