"C0000100","C0000200","Y1211300"
132701,1327,7
132702,1327,2
132801,1328,8
132802,1328,6
133501,1335,8
133601,1336,-7
133602,1336,-7
133603,1336,-7
133604,1336,-7
134101,1341,7
134102,1341,-7
134103,1341,3
134301,1343,6
134302,1343,2
134701,1347,-7
134801,1348,-7
134802,1348,-7
134803,1348,-7
134804,1348,-7
135201,1352,8
135202,1352,8
135203,1352,8
135601,1356,5
135602,1356,12
135901,1359,6
135902,1359,6
135903,1359,10
136001,1360,2
136101,1361,8
136102,1361,8
136201,1362,10
136202,1362,8
136601,1366,2
137001,1370,8
137401,1374,3
137402,1374,6
137501,1375,6
137502,1375,6
137601,1376,6
137602,1376,3
137603,1376,2
137701,1377,6
137702,1377,3
137801,1378,6
138101,1381,2
138102,1381,3
138103,1381,3
138201,1382,-7
138501,1385,6
138801,1388,8
138802,1388,8
138803,1388,3
138804,1388,6
138901,1389,4
138902,1389,6
139101,1391,3
139102,1391,3
139103,1391,2
139401,1394,8
139402,1394,10
139801,1398,-7
139802,1398,14
139901,1399,6
139902,1399,8
140001,1400,6
140002,1400,-7
140003,1400,-7
140004,1400,1
140101,1401,-7
140102,1401,-7
140103,1401,-7
140104,1401,2
140105,1401,-7
140106,1401,-7
140107,1401,3
140201,1402,8
140601,1406,3
140602,1406,-7
140603,1406,-7
140604,1406,2
140605,1406,-7
140606,1406,2
140701,1407,-7
140901,1409,5
140902,1409,3
141001,1410,8
141002,1410,2
141101,1411,2
141201,1412,2
141401,1414,2
141402,1414,2
141403,1414,6
141404,1414,6
141405,1414,2
141501,1415,2
141502,1415,2
141503,1415,2
141504,1415,2
141505,1415,2
141506,1415,2
141507,1415,-7
141601,1416,2
141602,1416,2
141603,1416,2
141901,1419,3
141902,1419,3
142101,1421,-7
142102,1421,-7
142301,1423,10
142302,1423,3
142303,1423,10
142304,1423,6
142305,1423,3
142601,1426,8
143501,1435,7
143502,1435,3
143503,1435,8
143601,1436,6
143602,1436,6
143603,1436,6
143701,1437,3
143702,1437,3
143703,1437,5
143801,1438,3
143802,1438,10
143803,1438,2
143901,1439,2
144001,1440,7
144002,1440,2
144003,1440,7
144004,1440,2
144201,1442,6
144202,1442,6
144301,1443,8
144302,1443,7
144303,1443,2
144601,1446,6
