,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
22,22,2702,27,1992,31,7,55,5,27,29,24,4,6,7,1,18,1,0,0,96.674,2,1,24,24,0,0,0,1,3,1,1,1,1,7236.946717,8550.960426,19316.07018,23159.32871,27115.70984,30540.90587,36943.14263,7500.514565,,,,,,,,,,236.1095319,,11599.89148,,17182.6294,,,,,,,,16583.76146,,16262.40695,,15545.26074,,43057.51452,,156552.6194,,51596.11822,,170584.1378,,,,0,0,0,0,0
23,23,3001,30,1982,24,6,,5,30,38,29,4,,5,1,18,1,0,0,8.528,2,1,22,22,1,1,1,1,1,1,1,0,0.666666667,,,16081.7324,22834.60971,26989.57751,3597.286225,,5429.494377,5877.318145,49716.24857,10557.77881,,,,,,,,,,,,,,,,,42672.69581,,,,,,,,,,,,,,,,,,0,0,0,0,0
24,24,3002,30,1987,28,6,,3,30,38,29,4,,5,1,18,1,0,0,8.528,2,1,22,22,1,1,1,1,1,1,1,0,0.666666667,,,16081.7324,22834.60971,26989.57751,3597.286225,,5429.494377,5877.318145,49716.24857,10557.77881,,,,,,,,,,,,,,,,,42672.69581,,,,,,,,,,,,,,,,,,0,0,0,0,0
25,25,3003,30,1991,32,6,0,4,30,38,29,4,,5,1,18,1,0,0,8.528,2,1,22,22,1,1,1,1,1,1,1,0,0.666666667,,,16081.7324,22834.60971,26989.57751,3597.286225,,5429.494377,5877.318145,49716.24857,10557.77881,,,,,,,,,,,,,,,,,42672.69581,,,,,,,,,,,,,,,,,,0,0,0,0,0
26,26,3501,35,1990,26,6,0,,35,41,42,4,5,6,0,10,0,1,0,53.046,2,1,22,22,0,0,1,,1,,5,0,1,,,,18891.37975,19258.07794,25862.28085,36462.52585,,40456.65367,39719.78493,36825.13492,38850.60577,40755.68619,,27188.37034,,32603.04434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
27,27,3502,35,1993,29,6,0,,35,41,42,4,5,6,0,10,0,1,0,53.046,2,1,22,22,0,0,1,,1,,5,0,1,,,,18891.37975,19258.07794,25862.28085,36462.52585,,40456.65367,39719.78493,36825.13492,38850.60577,40755.68619,,27188.37034,,32603.04434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
28,28,3701,37,1990,31,5,0,3,37,26,23,4,5,5,1,18,1,0,0,56.29,1,1,23,23,0,0,1,1,1,1,4,1,0.666666667,,,25738.79433,28543.26214,34398.48114,28778.2898,28245.53108,28898.92169,28756.87807,31015.64131,32427.32137,36462.52585,38721.71517,36938.68378,16688.98527,,,,,,,3260.304434,,17017.68873,,36944.6442,,40301.99049,,41312.84062,,39963.40514,,44721.61912,,42653.49667,,42121.48159,,45999.97045,,42700.23577,,45204.79651,,0,0,0,0,0
29,29,4301,43,1982,21,5,5,4,43,,17,4,4,5,2,,1,0,0,15.325,2,1,35,35,0,0,1,1,2,1,2,2,1,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
30,30,4302,43,1989,27,5,5,2,43,,17,4,4,5,2,,1,0,0,15.325,2,1,35,35,0,0,1,1,2,1,2,2,1,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
31,31,4303,43,1997,35,5,5,4,43,,17,4,4,5,2,,1,0,0,15.325,2,1,35,35,0,0,1,1,2,1,2,2,1,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
32,32,4304,43,2000,38,5,5,2,43,,17,4,4,5,2,,1,0,0,15.325,2,1,35,35,0,0,1,1,2,1,2,2,1,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
33,33,4401,44,1981,20,5,0,4,44,35,29,4,5,5,1,18,1,0,0,37.061,2,1,19,19,0,0,1,1,1,1,4,1,1,4807.286255,18522.25907,12266.74603,,2627.174699,,,,,,,,4803.278468,8080.926001,,,,,,,,,,,,,8039.255473,,21327.83832,,29597.58065,,,,42121.48159,,40185.57418,,59673.57949,,63969.05167,,,,,0,0,0,0,0
34,34,4402,44,1985,24,5,0,5,44,35,29,4,5,5,1,18,1,0,0,37.061,2,1,19,19,0,0,1,1,1,1,4,1,1,4807.286255,18522.25907,12266.74603,,2627.174699,,,,,,,,4803.278468,8080.926001,,,,,,,,,,,,,8039.255473,,21327.83832,,29597.58065,,,,42121.48159,,40185.57418,,59673.57949,,63969.05167,,,,,0,0,0,0,0
35,35,4601,46,1994,31,10,0,,46,29,26,4,5,10,2,9,1,0,0,78.095,2,1,26,26,0,1,1,1,1,1,0,,1,10584.14804,6714.934286,,,1637.252912,5067.915247,35809.31195,51815.16832,51628.95356,56287.51815,56742.54991,54437.15597,51282.79962,54340.91491,,25757.40348,,40753.80542,,39271.58937,,40639.10862,,41487.34315,,46895.65692,,50480.0907,,,,,,,,,,,,,,,,,,0,0,0,0,0
36,36,4602,46,1997,34,10,0,,46,29,26,4,5,10,2,9,1,0,0,78.095,2,1,26,26,0,1,1,1,1,1,0,,1,10584.14804,6714.934286,,,1637.252912,5067.915247,35809.31195,51815.16832,51628.95356,56287.51815,56742.54991,54437.15597,51282.79962,54340.91491,,25757.40348,,40753.80542,,39271.58937,,40639.10862,,41487.34315,,46895.65692,,50480.0907,,,,,,,,,,,,,,,,,,0,0,0,0,0
37,37,4901,49,1982,24,6,0,5,49,30,31,4,5,6,1,18,1,0,0,71.226,4,1,20,20,0,0,0,1,2,1,6,1,1,,,13370.80225,30045.5391,26460.37011,29977.3852,32764.81606,19898.65903,18891.37975,25655.81415,33819.90573,26867.12431,31346.15037,33772.51089,36715.76759,39638.25501,42294.32347,36136.70842,,44633.28733,,44829.18596,,43671.31643,,43102.0849,,47295.57119,,37963.15084,,,,55902.02389,,70766.02857,,468.0164621,,30249.58057,,,,26440.54136,,0,0,0,0,0
38,38,4902,49,1987,28,6,0,4,49,30,31,4,5,6,1,18,1,0,0,71.226,4,1,20,20,0,0,0,1,2,1,6,1,1,,,13370.80225,30045.5391,26460.37011,29977.3852,32764.81606,19898.65903,18891.37975,25655.81415,33819.90573,26867.12431,31346.15037,33772.51089,36715.76759,39638.25501,42294.32347,36136.70842,,44633.28733,,44829.18596,,43671.31643,,43102.0849,,47295.57119,,37963.15084,,,,55902.02389,,70766.02857,,468.0164621,,30249.58057,,,,26440.54136,,0,0,0,0,0
39,39,5001,50,1985,26,5,55,2,50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
40,40,5002,50,1988,29,5,0,3,50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
41,41,5003,50,1990,31,5,0,,50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
42,42,5004,50,1990,31,5,0,,50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
43,43,5005,50,1992,34,5,0,4,50,27,25,4,3,5,0,12,0,1,0,78.742,3,1,29,29,0,0,1,,1,2,4,2,0.333333333,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,,0,0,0,0,0
44,44,5701,57,1979,21,5,55,3,57,38,34,4,5,5,1,18,0,1,0,30.83,3,1,19,19,0,0,1,1,2,1,1,0,1,,,,23398.90393,18294.72876,29106.40712,23981.90816,27115.70984,27585.33434,20990.42195,29393.90843,36804.01506,42219.76678,43331.44317,40456.65367,43391.36169,43229.50621,46620.72693,50114.39931,,52659.58045,,51621.48686,,56289.2781,,,,64009.04371,,61969.26094,,65203.45049,,98590.84214,,108.572537,,102963.6217,,110252.7292,,114756.8836,,107468.0068,0,0,0,0,0
45,45,5702,57,1995,37,5,55,4,57,38,34,4,5,5,1,18,0,1,0,30.83,3,1,19,19,0,0,1,1,2,1,1,0,1,,,,23398.90393,18294.72876,29106.40712,23981.90816,27115.70984,27585.33434,20990.42195,29393.90843,36804.01506,42219.76678,43331.44317,40456.65367,43391.36169,43229.50621,46620.72693,50114.39931,,52659.58045,,51621.48686,,56289.2781,,,,64009.04371,,61969.26094,,65203.45049,,98590.84214,,108.572537,,102963.6217,,110252.7292,,114756.8836,,107468.0068,0,0,0,0,0
46,46,5703,57,1998,39,5,55,5,57,38,34,4,5,5,1,18,0,1,0,30.83,3,1,19,19,0,0,1,1,2,1,1,0,1,,,,23398.90393,18294.72876,29106.40712,23981.90816,27115.70984,27585.33434,20990.42195,29393.90843,36804.01506,42219.76678,43331.44317,40456.65367,43391.36169,43229.50621,46620.72693,50114.39931,,52659.58045,,51621.48686,,56289.2781,,,,64009.04371,,61969.26094,,65203.45049,,98590.84214,,108.572537,,102963.6217,,110252.7292,,114756.8836,,107468.0068,0,0,0,0,0
47,47,5801,58,1981,24,8,0,7,58,28,25,4,5,8,1,18,1,0,0,91.625,2,1,22,22,0,0,0,1,1,1,2,1,1,,13370.80225,,30164.82192,33569.87505,33894.6373,35028.99598,33941.51229,40543.32197,42175.41185,43908.55745,47941.17116,49251.57838,48398.05727,43229.50621,45066.7027,43774.6259,,42929.0058,,57055.32759,,40580.64235,,,,52155.5171,,,,45936.88254,,45941.29964,,43622.89432,,,,41399.9734,,40031.47103,,38381.431,,,0,0,0,0,0
48,48,5802,58,1984,27,8,0,7,58,28,25,4,5,8,1,18,1,0,0,91.625,2,1,22,22,0,0,0,1,1,1,2,1,1,,13370.80225,,30164.82192,33569.87505,33894.6373,35028.99598,33941.51229,40543.32197,42175.41185,43908.55745,47941.17116,49251.57838,48398.05727,43229.50621,45066.7027,43774.6259,,42929.0058,,57055.32759,,40580.64235,,,,52155.5171,,,,45936.88254,,45941.29964,,43622.89432,,,,41399.9734,,40031.47103,,38381.431,,,0,0,0,0,0
49,49,5803,58,1988,31,8,0,4,58,28,25,4,5,8,1,18,1,0,0,91.625,2,1,22,22,0,0,0,1,1,1,2,1,1,,13370.80225,,30164.82192,33569.87505,33894.6373,35028.99598,33941.51229,40543.32197,42175.41185,43908.55745,47941.17116,49251.57838,48398.05727,43229.50621,45066.7027,43774.6259,,42929.0058,,57055.32759,,40580.64235,,,,52155.5171,,,,45936.88254,,45941.29964,,43622.89432,,,,41399.9734,,40031.47103,,38381.431,,,0,0,0,0,0
50,50,6101,61,1993,30,6,0,5,61,33,30,7,5,6,1,18,1,0,0,99.15,2,1,22,22,2,0,1,1,1,1,3,1,1,13557.85492,17514.49799,18891.37975,18244.49489,27851.68707,28786.20462,33190.04157,35179.69884,41722.46317,40027.32057,40404.63,41978.35677,,40067.07208,,43199.03374,,44507.80129,,33250.17978,,34375.22718,,33496.8978,,33443.06009,,46754.41998,,49439.28023,,54289.90961,,59799.96158,,57823.23594,,42646.03445,,,,,,,,0,0,0,0,0
51,51,6102,61,1994,31,6,0,6,61,33,30,7,5,6,1,18,1,0,0,99.15,2,1,22,22,2,0,1,1,1,1,3,1,1,13557.85492,17514.49799,18891.37975,18244.49489,27851.68707,28786.20462,33190.04157,35179.69884,41722.46317,40027.32057,40404.63,41978.35677,,40067.07208,,43199.03374,,44507.80129,,33250.17978,,34375.22718,,33496.8978,,33443.06009,,46754.41998,,49439.28023,,54289.90961,,59799.96158,,57823.23594,,42646.03445,,,,,,,,0,0,0,0,0
52,52,6103,61,2003,40,6,0,2,61,33,30,7,5,6,1,18,1,0,0,99.15,2,1,22,22,2,0,1,1,1,1,3,1,1,13557.85492,17514.49799,18891.37975,18244.49489,27851.68707,28786.20462,33190.04157,35179.69884,41722.46317,40027.32057,40404.63,41978.35677,,40067.07208,,43199.03374,,44507.80129,,33250.17978,,34375.22718,,33496.8978,,33443.06009,,46754.41998,,49439.28023,,54289.90961,,59799.96158,,57823.23594,,42646.03445,,,,,,,,0,0,0,0,0
