,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
9559,975001,9750,1975,17,2,0,
9560,975002,9750,1980,21,2,0,
9561,975003,9750,1981,23,2,55,
9562,975301,9753,1980,20,4,5,
9563,975401,9754,1976,15,3,5,2
9564,975402,9754,1978,17,3,5,2
9565,975403,9754,1980,19,3,5,2
9566,975404,9754,1981,21,3,5,2
9567,975501,9755,1977,18,3,55,
9568,975502,9755,1979,21,3,55,
9569,975601,9756,1974,16,6,5,3
9570,975602,9756,1975,17,6,5,2
9571,975701,9757,1996,34,6,55,4
9572,975702,9757,1997,35,6,55,4
9573,975801,9758,1980,17,6,55,4
9574,975802,9758,1993,30,6,100,5
9575,975803,9758,1995,31,6,5,5
9576,976301,9763,1994,30,5,0,5
9577,976302,9763,1997,34,5,0,5
9578,976501,9765,1981,21,5,0,4
9579,976502,9765,1987,27,5,0,4
9580,976601,9766,1989,28,6,5,4
9581,976801,9768,1977,20,6,0,3
9582,976802,9768,1982,24,6,0,2
9583,976803,9768,1988,31,6,0,5
9584,977201,9772,1981,19,5,0,2
9585,977202,9772,1985,23,5,55,4
9586,977203,9772,1989,27,5,55,2
9587,977204,9772,1992,30,5,55,5
9588,977205,9772,1994,32,5,55,4
9589,977401,9774,1982,21,5,0,
9590,977402,9774,1987,26,5,0,
9591,977801,9778,1980,20,5,5,5
9592,977802,9778,1987,27,5,0,5
9593,977803,9778,1988,28,5,0,4
9594,978401,9784,1983,18,6,5,3
9595,978402,9784,1986,21,6,55,5
9596,978403,9784,1987,22,6,55,3
9597,978901,9789,1985,22,5,0,5
9598,978902,9789,1988,24,5,0,4
9599,978903,9789,1989,26,5,0,3
9600,979001,9790,1988,24,5,0,2
9601,979002,9790,1990,26,5,0,3
9602,979003,9790,1993,28,5,0,3
9603,979501,9795,1981,18,4,0,
9604,979502,9795,1983,21,4,0,
9605,979503,9795,1985,23,4,0,
9606,979601,9796,1983,18,4,0,
9607,979602,9796,1984,20,4,0,
9608,979603,9796,1986,21,4,0,
9609,979604,9796,1987,22,4,0,
9610,979701,9797,1979,19,5,0,
9611,979702,9797,1984,23,5,0,
9612,979801,9798,1981,22,4,5,
9613,979802,9798,1982,24,4,5,
9614,979803,9798,1985,26,4,0,
9615,979804,9798,1987,28,4,5,
9616,980701,9807,1978,19,3,0,
9617,980702,9807,1979,20,3,0,
9618,980901,9809,1976,16,5,5,3
9619,980902,9809,1982,22,5,5,3
9620,981101,9811,1980,23,5,0,6
9621,981102,9811,1984,26,5,0,4
9622,981701,9817,1980,20,5,5,4
9623,981702,9817,1982,22,5,5,5
9624,981703,9817,1987,27,5,5,3
9625,982001,9820,1987,25,10,5,4
9626,982601,9826,1983,20,6,55,4
9627,982801,9828,1981,18,3,5,2
9628,982802,9828,1982,19,3,0,2
9629,982803,9828,1983,20,3,5,2
9630,982804,9828,1984,21,3,5,2
9631,982805,9828,1986,23,3,5,2
9632,983001,9830,1985,21,6,0,7
9633,983002,9830,1987,23,6,0,3
9634,983003,9830,1998,34,6,0,5
9635,983101,9831,1990,31,7,5,
9636,983102,9831,1996,37,7,5,3
9637,983201,9832,1982,21,5,0,2
9638,983202,9832,1986,25,5,0,3
9639,983401,9834,1976,16,4,5,
9640,983402,9834,1978,18,4,5,
9641,983403,9834,1982,22,4,5,
9642,983701,9837,1984,19,6,55,3
9643,983702,9837,1985,21,6,55,3
9644,983703,9837,1990,25,6,55,3
9645,983704,9837,2004,39,6,0,2
9646,983801,9838,1977,18,6,55,5
9647,983802,9838,1981,23,6,55,5
9648,983803,9838,1989,30,6,55,4
9649,983804,9838,1994,36,6,55,4
9650,983901,9839,1981,19,7,0,4
9651,983902,9839,1984,23,7,0,4
9652,983903,9839,1987,26,7,0,4
9653,984001,9840,1983,20,10,5,3
9654,984002,9840,1985,22,10,55,5
9655,984003,9840,1986,23,10,55,3
9656,984401,9844,1983,21,6,55,3
9657,984402,9844,1985,23,6,55,3
9658,984403,9844,1986,24,6,5,4
9659,984404,9844,1989,27,6,5,3
9660,984405,9844,1998,36,6,5,4
9661,984501,9845,1985,26,6,,5
9662,984502,9845,1987,28,6,,5
9663,984503,9845,1989,29,6,,4
9664,985101,9851,1984,20,4,0,
9665,985102,9851,1990,26,4,0,
9666,985201,9852,1982,18,6,55,2
9667,985501,9855,1995,31,6,55,3
9668,985502,9855,1998,33,6,55,4
9669,985801,9858,1979,20,5,5,5
9670,985802,9858,1982,23,5,5,3
9671,985803,9858,1987,28,5,55,5
9672,986101,9861,1978,21,5,0,
9673,986102,9861,1986,29,5,0,
9674,986201,9862,1983,21,6,0,2
9675,986202,9862,1984,22,6,0,3
9676,986203,9862,1989,27,6,0,5
9677,986401,9864,1978,19,4,0,
9678,986402,9864,1979,20,4,0,
9679,986501,9865,1980,17,4,5,
