"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
696704,6967,1989,29,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
696705,6967,1990,30,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
696706,6967,1992,31,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
696801,6968,1996,34,10,11,12,13,14,14,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
697001,6970,1975,18,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
697002,6970,1994,37,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
697101,6971,1981,20,12,13,14,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15
697102,6971,1987,26,12,13,14,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15
697103,6971,1993,32,12,13,14,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15
698301,6983,1986,27,15,15,15,17,16,16,-7,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
698302,6983,1988,29,15,15,15,17,16,16,-7,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
698901,6989,1979,20,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,12,15,15,12,12,14,12,12
698902,6989,1983,24,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,12,15,15,12,12,14,12,12
699201,6992,1984,21,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,-7,-7
699202,6992,1986,24,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,-7,-7
699203,6992,1989,27,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,-7,-7
699401,6994,1977,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,12,-7,-7,12,12,12
699501,6995,1977,17,9,9,9,9,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
699502,6995,1979,18,9,9,9,9,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
699503,6995,1981,21,9,9,9,9,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
699504,6995,1976,16,9,9,9,9,9,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
700001,7000,1983,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
700002,7000,1985,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
700003,7000,1988,29,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
700004,7000,1992,33,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7
700201,7002,1980,19,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,12,12,12,12,12,14,14
700202,7002,1987,25,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,12,12,12,12,12,14,14
700203,7002,1988,27,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,12,12,12,12,12,14,14
700601,7006,1977,18,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
700602,7006,1980,21,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
700603,7006,1983,24,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701201,7012,1977,19,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701501,7015,1975,16,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701502,7015,1976,17,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701503,7015,1979,21,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701504,7015,1983,24,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701601,7016,1986,29,15,15,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701901,7019,1984,26,14,14,14,14,14,14,14,14,14,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
701902,7019,1985,28,14,14,14,14,14,14,14,14,14,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702001,7020,1983,23,12,12,12,12,12,12,12,-7,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702101,7021,1989,30,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702201,7022,1982,20,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702202,7022,1980,18,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702203,7022,1985,23,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702801,7028,1984,21,9,11,11,12,12,-7,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
702802,7028,1988,24,9,11,11,12,12,-7,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703001,7030,1984,21,9,10,11,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703101,7031,1983,19,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703102,7031,1987,23,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703201,7032,1981,20,11,11,13,13,13,13,13,13,13,13,14,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703401,7034,1985,20,7,8,9,10,10,-7,-7,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703402,7034,1988,23,7,8,9,10,10,-7,-7,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703403,7034,1990,25,7,8,9,10,10,-7,-7,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703801,7038,1984,20,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703802,7038,1986,22,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703901,7039,1983,21,9,10,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703902,7039,1985,23,9,10,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
703903,7039,1988,26,9,10,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
704201,7042,1978,17,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
704501,7045,1976,17,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
704502,7045,1978,20,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
704503,7045,1979,21,12,12,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
704601,7046,1983,18,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
704602,7046,1984,19,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
704603,7046,1989,24,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
704801,7048,2004,40,8,9,10,11,12,13,13,13,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16
704901,7049,1980,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
704902,7049,1985,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
704903,7049,1999,37,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
704904,7049,2003,41,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
705101,7051,1979,17,8,8,8,8,8,-7,-7,-7,-7,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705201,7052,1984,20,8,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705301,7053,1975,17,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705302,7053,1976,18,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705303,7053,1978,19,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705304,7053,1984,26,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705305,7053,1988,30,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705401,7054,1981,23,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12,12,12,13,13,14,14
705501,7055,1984,21,9,10,11,12,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
705801,7058,1980,21,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
706401,7064,1981,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
706402,7064,1993,32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
706501,7065,1978,16,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,13,13,13,13,13,12,12,12,12
706502,7065,1987,25,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,13,13,13,13,13,12,12,12,12
706503,7065,1987,25,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,13,13,13,13,13,12,12,12,12
706601,7066,1976,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
706602,7066,1977,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
706603,7066,1979,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
706604,7066,1980,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
706605,7066,1981,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12
707301,7073,1985,21,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,13,15,13,14,14
707302,7073,1989,26,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,13,15,13,14,14
707303,7073,1991,28,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,13,15,13,14,14
707401,7074,1978,19,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
707402,7074,1986,27,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
707501,7075,1986,27,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
707502,7075,1989,30,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
707701,7077,1979,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
707702,7077,1982,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
707703,7077,1983,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
708101,7081,1986,23,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,14,14,16,16
708102,7081,1992,29,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,14,14,16,16
708401,7084,1985,28,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,18
708402,7084,1987,29,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,18
708403,7084,1989,32,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,18
708501,7085,1979,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
708502,7085,1980,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
708503,7085,1986,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
708601,7086,1990,30,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
708602,7086,1991,31,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
708603,7086,1994,34,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
708801,7088,1978,18,12,12,12,12,12,12,12,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
708802,7088,1980,21,12,12,12,12,12,12,12,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
708803,7088,1984,24,12,12,12,12,12,12,12,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
708804,7088,1988,28,12,12,12,12,12,12,12,-7,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
708901,7089,1977,17,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
708902,7089,1980,20,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
708903,7089,1982,21,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
708904,7089,1991,31,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
708905,7089,1994,33,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
709201,7092,1978,17,12,13,14,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,16,16,16,19,20,20
709401,7094,1974,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
709402,7094,1979,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
709403,7094,1982,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
709701,7097,1974,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,12,14,14
709801,7098,1976,17,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
709802,7098,1985,26,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
710201,7102,1986,25,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18
710202,7102,1987,26,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18
710501,7105,1981,21,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,-7,-7,-7,-7,-7,-7,-7,-7
710502,7105,1990,29,12,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,-7,-7,-7,-7,-7,-7,-7,-7
710601,7106,1997,33,8,9,10,11,12,13,14,14,16,-7,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,16
711101,7111,1986,21,8,9,9,9,9,9,9,9,9,12,12,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
711102,7111,1986,21,8,9,9,9,9,9,9,9,9,12,12,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
711501,7115,1983,20,9,10,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
711502,7115,1985,21,9,10,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
711601,7116,1976,17,12,12,12,13,14,13,14,14,14,15,15,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16
711602,7116,1980,21,12,12,12,13,14,13,14,14,14,15,15,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16
711603,7116,1981,23,12,12,12,13,14,13,14,14,14,15,15,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16
711801,7118,1998,35,10,10,11,12,12,12,12,12,13,14,-7,-7,-7,-7,-7,-7,13,-7,-7,-7,14,-7,13,12,13,13
712001,7120,1986,26,13,13,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,-7,-7,14
712301,7123,1986,24,10,11,12,12,13,13,13,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
712302,7123,1988,25,10,11,12,12,13,13,13,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
712303,7123,1995,32,10,11,12,12,13,13,13,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12
712401,7124,1975,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
712402,7124,1985,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
712601,7126,1978,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
712602,7126,1979,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
712603,7126,1981,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
712701,7127,1981,21,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
712702,7127,1983,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
712703,7127,1985,25,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
712704,7127,1997,36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
712801,7128,1979,18,11,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,13,13,13,12,12,12,12
712802,7128,1981,19,11,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,13,13,13,12,12,12,12
713001,7130,1978,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15
713002,7130,1983,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15
713701,7137,1993,32,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,14,-7
713702,7137,1994,33,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,14,-7
713801,7138,1975,18,12,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
713802,7138,1977,19,12,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
713803,7138,1985,27,12,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
713901,7139,1984,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
713902,7139,1985,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
713903,7139,1987,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
714401,7144,1980,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,10,10,10,11,12,12,12
714402,7144,1987,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,10,10,10,11,12,12,12
714601,7146,1986,23,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
714602,7146,1991,28,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
714701,7147,1991,28,10,11,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,16,16
714801,7148,1984,26,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16
714802,7148,1986,28,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16
715201,7152,1983,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,14,15,15,16,16,16,16
715202,7152,1986,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,14,15,15,16,16,16,16
715203,7152,1990,29,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,14,15,15,16,16,16,16
715204,7152,1994,33,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,14,15,15,16,16,16,16
715301,7153,1982,20,10,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,14,14
715302,7153,1989,27,10,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,14,14
715601,7156,1983,19,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7
715602,7156,1985,21,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7
715603,7156,1990,25,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7
715701,7157,1976,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,13
715702,7157,1982,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,13
715801,7158,1975,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
715802,7158,1977,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
715803,7158,1980,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
715804,7158,1991,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
715805,7158,1995,34,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
716001,7160,1988,25,9,-7,-7,-7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14
716301,7163,1978,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
716302,7163,1984,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
716303,7163,1988,31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
716304,7163,1991,33,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13
716601,7166,1992,28,8,9,10,11,12,13,14,15,16,16,18,18,18,17,17,16,20,20,20,18,18,20,19,18,18,18
716602,7166,1994,30,8,9,10,11,12,13,14,15,16,16,18,18,18,17,17,16,20,20,20,18,18,20,19,18,18,18
716701,7167,1974,17,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716702,7167,1984,27,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716901,7169,1974,16,7,7,7,7,7,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716902,7169,1976,18,7,7,7,7,7,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716903,7169,1976,18,7,7,7,7,7,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716904,7169,1980,22,7,7,7,7,7,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717001,7170,1977,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11
717002,7170,1982,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11
717003,7170,1989,29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11
