"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
933001,9330,1987,29,14,15,-7,-7,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
933301,9333,1993,34,13,13,13,13,-7,-7,-7,-7,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
933601,9336,1989,31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7,-7,-7
933701,9337,1980,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13
933702,9337,1992,32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13
934001,9340,1986,22,9,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
934101,9341,1987,27,12,13,14,14,13,13,14,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,14,16,14,15
934102,9341,1989,28,12,13,14,14,13,13,14,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,14,16,14,15
934201,9342,1985,22,10,11,12,14,14,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
934202,9342,1992,30,10,11,12,14,14,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
934401,9344,1984,24,12,13,15,-7,-7,-7,-7,-7,-7,14,14,14,14,14,14,14,14,14,-7,14,-7,-7,-7,-7,-7,-7
934402,9344,1985,25,12,13,15,-7,-7,-7,-7,-7,-7,14,14,14,14,14,14,14,14,14,-7,14,-7,-7,-7,-7,-7,-7
934601,9346,1976,18,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-2,16,16,16
934701,9347,1976,19,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,13,13
934702,9347,1982,24,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,13,13,13
934901,9349,1977,16,10,10,-7,10,10,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
934902,9349,1979,18,10,10,-7,10,10,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
934903,9349,1988,27,10,10,-7,10,10,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
934904,9349,1990,29,10,10,-7,10,10,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
935301,9353,1984,21,9,11,12,13,14,14,14,14,14,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
935302,9353,1986,24,9,11,12,13,14,14,14,14,14,14,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
935401,9354,1982,21,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,12,12
935402,9354,1993,32,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,12,12
935403,9354,1994,33,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,12,12,12
935501,9355,1976,17,11,12,13,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14
935901,9359,1993,32,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
935902,9359,1995,34,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14
936001,9360,1997,35,10,11,12,13,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
936002,9360,2001,39,10,11,12,13,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
936301,9363,1982,19,9,10,11,-7,11,11,13,-7,-7,-7,15,15,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
936501,9365,1995,31,9,10,11,12,13,13,13,13,-7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
936601,9366,1982,22,13,13,13,13,13,13,13,13,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,14,13,13,13,13
936602,9366,1991,31,13,13,13,13,13,13,13,13,14,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,14,13,13,13,13
937101,9371,1983,19,9,10,10,10,10,10,10,-7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
937102,9371,1987,23,9,10,10,10,10,10,10,-7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
937401,9374,1978,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
937402,9374,1980,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
937403,9374,1983,25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
937404,9374,1984,26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
937801,9378,1983,19,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
937802,9378,1986,21,8,9,10,11,12,12,12,12,12,12,12,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
938001,9380,1988,25,9,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,15
938002,9380,1989,26,9,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,15
938101,9381,1977,19,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
938102,9381,1983,25,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
938103,9381,1985,27,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
938201,9382,1976,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
938202,9382,1978,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
938203,9382,1979,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
938204,9382,1984,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
938205,9382,1998,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
938301,9383,1979,19,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14
938302,9383,1981,21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14
938401,9384,1985,24,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
938801,9388,1983,19,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-7
938802,9388,1986,22,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-7
938803,9388,1988,24,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-7
939201,9392,1980,21,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,12,12,12,12,12,12,12,13,13,13,13
939202,9392,1982,23,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,12,12,12,12,12,12,12,13,13,13,13
