R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
25,41,27,4,6,6,1,18,1,0,0,51.39,2,1,27,27,1,0,0,1,1,1,1,,1,,1076.349581,12174.45244,25137.3516,26380.09898,24856.06735,24082.43474,27287.54853,34259.10707,38793.42128,40300.68647,41487.55197,43974.62355,36715.76759,13449.17971,12432.19385,18113.6383,,25757.40348,,20376.90271,,26181.05958,,24629.7628,,23707.05323,,25680.95498,,34705.06236,,33297.27823,,33928.91781,,33697.18527,,45999.97045,,42700.23577,,47957.17158,,,0,0,0,0,0
26,27,24,4,7,7,2,8,1,0,0,97.075,5,1,25,25,,0,1,1,1,1,2,2,1,5027.47032,8633.486939,8360.677201,15325.18574,2260.668444,,,,,,,,,,,,,,,,,,,,,,,,,96558.04127,,101786.7534,,,,,,,,,,,,,,0,0,0,0,0
27,29,24,4,6,7,1,18,1,0,0,96.674,2,1,24,24,0,0,0,1,3,1,1,1,1,7236.946717,8550.960426,19316.07018,23159.32871,27115.70984,30540.90587,36943.14263,7500.514565,,,,,,,,,,236.1095319,,11599.89148,,17182.6294,,,,,,,,16583.76146,,16262.40695,,15545.26074,,43057.51452,,156552.6194,,51596.11822,,170584.1378,,,,0,0,0,0,0
28,32,27,4,6,6,1,18,1,0,0,92.784,0,1,21,21,0,0,0,1,3,1,1,1,1,8360.677201,18828.08534,26238.02743,30097.33507,30835.7964,35502.9857,39643.66077,45733.6085,38384.66611,20814.2067,38850.60577,30189.39717,,22895.46976,,19018.44253,,31417.2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
29,39,31,4,0,5,1,18,1,0,0,25.905,2,1,35,35,0,1,1,1,1,1,1,1,0.666666667,22596.6558,23285.2928,24713.98568,19665.16469,27793.60259,31195.51023,29386.59073,31962.32788,33819.90573,36462.52585,38721.71517,52769.54826,58411.44843,59240.43444,63714.99347,,,58669.64126,,67923.00903,,65452.64895,,75120.77654,,73491.865,,94907.87711,,65203.45049,,30492.01303,,5040.867789,,,,,,,,,,,,0,0,0,0,0
30,38,29,4,,5,1,18,1,0,0,8.528,2,1,22,22,1,1,1,1,1,1,1,0,0.666666667,,,16081.7324,22834.60971,26989.57751,3597.286225,,5429.494377,5877.318145,49716.24857,10557.77881,,,,,,,,,,,,,,,,,42672.69581,,,,,,,,,,,,,,,,,,0,0,0,0,0
31,22,20,4,3,5,2,9,1,0,0,,2,1,20,20,,1,0,,3,,2,2,0,,,,5933.992284,27569.45894,31830.49951,12474.022,36877.82397,26384.77413,25033.4779,33622.94928,34188.53308,46793.56562,,,,50263.02668,,34035.37746,,44333.57304,,42672.69581,,44662.5304,,48376.75359,,,,40714.70137,,24336.85603,,36799.97636,,35583.52981,,41793.11376,,,,,,,1,0,1,0,0
32,28,28,4,5,9,1,18,1,0,0,,4,1,31,31,0,1,0,1,1,1,2,2,0.666666667,,,,668.5401124,,3704.451815,26380.09898,22596.42487,21893.12249,23089.46414,12162.99659,11936.43732,44138.84709,46097.27996,,,9606.556936,46620.72693,45284.09576,,44359.97266,,,,,,,,88901.4496,,39079.7141,,,,76230.03258,,,,,,,,,,,0,0,0,0,0
33,33,31,4,5,5,,,1,0,0,,,0,,,,1,0,1,1,1,2,2,1,,,,,,,,,,,6675.594107,5123.497033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
34,23,20,4,6,6,0,14,1,0,0,6.069,2,1,28,28,,0,1,1,1,,5,1,1,,,2139.32836,10215.48329,15876.22206,25660.64174,45192.84974,80071.90619,54575.09706,40543.32197,59682.18658,61410.56986,73755.64794,8794.924711,75100.4337,67245.89855,66823.04193,63397.73407,,34343.20464,,47546.10632,,45816.85427,,30787.2035,,35560.57984,,312432.2652,,3786.006803,,30492.01303,,51378.07554,,24336.85603,,,,,,,,1,0,1,0,0
