C0000100,C0000200,dad_distance
113501,1135,0
113502,1135,0
113601,1136,0
113602,1136,0
114101,1141,55
114102,1141,55
114701,1147,5
114702,1147,5
115201,1152,5
115202,1152,55
115203,1152,55
115501,1155,55
115701,1157,55
115702,1157,0
115801,1158,55
115802,1158,55
115901,1159,5
115902,1159,0
116001,1160,0
116002,1160,0
116003,1160,55
116004,1160,55
116005,1160,0
116006,1160,0
116101,1161,5
116102,1161,5
116201,1162,1
116301,1163,55
116302,1163,5
116401,1164,0
116402,1164,0
116501,1165,5
116502,1165,5
116503,1165,0
116601,1166,5
116602,1166,5
116701,1167,5
116702,1167,0
116801,1168,5
117001,1170,55
117002,1170,5
117003,1170,0
117004,1170,5
117201,1172,0
117202,1172,0
117203,1172,0
117701,1177,0
117702,1177,0
117901,1179,55
117902,1179,
118101,1181,0
118102,1181,0
118103,1181,0
118401,1184,0
118402,1184,0
118403,1184,0
118701,1187,0
118702,1187,0
118703,1187,0
118901,1189,5
118902,1189,5
119101,1191,55
119501,1195,0
119502,1195,0
119901,1199,5
119902,1199,5
120001,1200,100
120002,1200,100
120201,1202,0
120202,1202,0
120301,1203,0
120302,1203,0
120701,1207,1
120702,1207,55
120901,1209,55
120902,1209,55
120903,1209,5
121001,1210,5
121002,1210,5
121003,1210,5
121004,1210,5
121005,1210,55
121006,1210,5
121201,1212,55
121202,1212,55
121301,1213,5
121302,1213,5
121401,1214,5
121402,1214,5
121403,1214,5
121404,1214,5
121601,1216,100
121602,1216,0
121603,1216,100
121604,1216,100
122001,1220,55
122002,1220,5
122003,1220,5
122101,1221,5
122102,1221,100
122103,1221,100
122301,1223,100
122302,1223,55
122401,1224,55
122402,1224,5
122403,1224,55
122501,1225,0
122502,1225,0
122601,1226,0
122602,1226,55
122701,1227,100
122702,1227,5
122703,1227,55
122704,1227,55
122801,1228,100
122802,1228,1
122803,1228,5
123001,1230,55
123002,1230,55
123101,1231,55
123102,1231,0
123301,1233,5
123302,1233,5
123401,1234,0
123402,1234,0
123601,1236,0
123602,1236,0
123603,1236,0
123801,1238,55
123802,1238,0
123803,1238,0
123804,1238,0
123805,1238,0
124101,1241,0
124102,1241,0
124103,1241,5
124104,1241,5
124201,1242,5
124401,1244,5
124402,1244,100
124403,1244,5
124601,1246,5
124602,1246,5
125001,1250,5
125002,1250,5
125003,1250,55
125101,1251,5
125301,1253,0
125401,1254,0
125402,1254,0
125403,1254,0
125404,1254,0
125501,1255,5
125801,1258,55
125802,1258,0
125803,1258,0
125804,1258,0
125901,1259,5
126101,1261,5
126301,1263,0
126901,1269,5
126902,1269,5
126903,1269,0
127001,1270,0
127002,1270,0
127101,1271,55
127701,1277,0
127901,1279,0
127902,1279,0
127903,1279,0
128601,1286,55
128602,1286,5
129001,1290,5
129002,1290,5
129301,1293,5
129302,1293,0
129303,1293,55
129501,1295,5
129502,1295,5
129503,1295,5
129504,1295,55
129601,1296,55
129602,1296,55
129701,1297,5
129702,1297,5
129703,1297,5
129801,1298,100
129802,1298,0
130201,1302,0
130401,1304,5
130402,1304,55
130403,1304,55
130501,1305,0
130502,1305,0
130601,1306,5
130602,1306,5
130603,1306,55
130604,1306,55
130801,1308,5
130802,1308,5
130803,1308,5
131001,1310,0
131002,1310,0
131003,1310,0
131201,1312,5
131301,1313,5
131302,1313,55
132201,1322,5
132301,1323,0
132302,1323,0
132401,1324,5
132402,1324,0
132403,1324,0
132404,1324,0
132405,1324,0
132601,1326,0
132602,1326,55
132701,1327,5
132702,1327,5
132801,1328,0
132802,1328,0
133501,1335,55
133601,1336,0
133602,1336,0
133603,1336,0
133604,1336,0
134101,1341,0
134102,1341,0
134103,1341,0
134301,1343,55
134302,1343,55
134701,1347,0
134801,1348,0
134802,1348,0
134803,1348,0
134804,1348,0
135201,1352,0
135202,1352,0
135203,1352,0
135601,1356,0
135602,1356,0
135901,1359,55
135902,1359,55
135903,1359,55
136001,1360,0
136101,1361,5
136102,1361,0
136201,1362,0
136202,1362,0
136601,1366,5
137001,1370,5
137401,1374,0
137402,1374,0
137501,1375,5
137502,1375,55
137601,1376,55
137602,1376,55
137603,1376,55
137701,1377,5
137702,1377,5
137801,1378,100
138101,1381,55
138102,1381,55
138103,1381,5
138201,1382,5
138501,1385,5
138801,1388,0
138802,1388,0
138803,1388,55
138804,1388,55
138901,1389,0
138902,1389,0
139101,1391,55
139102,1391,55
139103,1391,55
139401,1394,0
139402,1394,0
139801,1398,0
139802,1398,
139901,1399,
139902,1399,55
140001,1400,0
140002,1400,5
140003,1400,55
140004,1400,5
140101,1401,100
140102,1401,100
140103,1401,100
140104,1401,5
140105,1401,100
140106,1401,100
140107,1401,5
140201,1402,55
140601,1406,55
140602,1406,55
140603,1406,5
140604,1406,55
140605,1406,0
140606,1406,55
140701,1407,0
140901,1409,0
140902,1409,0
141001,1410,5
141002,1410,55
141101,1411,55
141201,1412,5
141401,1414,
141402,1414,5
141403,1414,0
141404,1414,0
141405,1414,0
141501,1415,55
141502,1415,55
141503,1415,5
141504,1415,100
141505,1415,100
141506,1415,5
141507,1415,5
141601,1416,0
141602,1416,0
141603,1416,5
141901,1419,55
141902,1419,5
142101,1421,55
142102,1421,5
142301,1423,0
142302,1423,5
142303,1423,5
142304,1423,0
142305,1423,0
142601,1426,0
143501,1435,55
143502,1435,55
143503,1435,55
143601,1436,5
143602,1436,5
143603,1436,5
143701,1437,100
143702,1437,5
143703,1437,5
143801,1438,5
143802,1438,5
143803,1438,5
143901,1439,5
144001,1440,5
144002,1440,55
144003,1440,55
144004,1440,55
144201,1442,0
144202,1442,0
144301,1443,0
144302,1443,0
144303,1443,100
144601,1446,5
144602,1446,5
144603,1446,55
145101,1451,0
145102,1451,5
145103,1451,5
145401,1454,0
145402,1454,0
145501,1455,0
145502,1455,0
145503,1455,5
145504,1455,0
145901,1459,100
146001,1460,0
146002,1460,0
146003,1460,0
146501,1465,5
146701,1467,55
146901,1469,55
146902,1469,5
146903,1469,1
147001,1470,5
147002,1470,5
147401,1474,0
147402,1474,0
147801,1478,0
147802,1478,55
148201,1482,5
148202,1482,5
148203,1482,5
148401,1484,55
148901,1489,5
148902,1489,5
148903,1489,55
148904,1489,55
149001,1490,5
149101,1491,5
149102,1491,5
149301,1493,0
149302,1493,0
149401,1494,5
149402,1494,0
149403,1494,0
149501,1495,55
149502,1495,55
149801,1498,55
149802,1498,55
149901,1499,0
149902,1499,0
150201,1502,0
150202,1502,0
150203,1502,0
150204,1502,0
150701,1507,55
150702,1507,100
151201,1512,0
151202,1512,0
151701,1517,5
151702,1517,0
151703,1517,0
151901,1519,55
151902,1519,5
151903,1519,5
152201,1522,0
152401,1524,0
152402,1524,0
152403,1524,0
152501,1525,100
152502,1525,0
152503,1525,5
152504,1525,5
152505,1525,0
153101,1531,0
153201,1532,100
153202,1532,55
153203,1532,55
153204,1532,55
153301,1533,55
153302,1533,55
153401,1534,5
153402,1534,0
153801,1538,55
153802,1538,55
153901,1539,0
153902,1539,5
154001,1540,5
154101,1541,0
154102,1541,0
154401,1544,5
154402,1544,5
154403,1544,0
154601,1546,0
154602,1546,55
154603,1546,55
154801,1548,5
154802,1548,5
154901,1549,100
154902,1549,100
154903,1549,5
154904,1549,5
155101,1551,0
155102,1551,0
155201,1552,5
155301,1553,0
155801,1558,5
155901,1559,5
155902,1559,5
156201,1562,55
156401,1564,0
156402,1564,0
156601,1566,0
156602,1566,0
156603,1566,100
156604,1566,100
156605,1566,100
157101,1571,100
157102,1571,100
157901,1579,0
158101,1581,0
158102,1581,0
158301,1583,0
158302,1583,0
158401,1584,5
158402,1584,5
158701,1587,0
158702,1587,0
159201,1592,5
159202,1592,55
159301,1593,5
159302,1593,5
159601,1596,5
159602,1596,5
159603,1596,5
159604,1596,5
159605,1596,0
159606,1596,0
159607,1596,0
159801,1598,55
159802,1598,5
159901,1599,0
160001,1600,5
160002,1600,5
160003,1600,100
160004,1600,100
160501,1605,0
160502,1605,5
160601,1606,0
160602,1606,0
160801,1608,0
160901,1609,0
160902,1609,0
161001,1610,5
161002,1610,5
161601,1616,0
161602,1616,0
161701,1617,1
161702,1617,1
161703,1617,0
162301,1623,5
162501,1625,0
162502,1625,0
162901,1629,0
162902,1629,0
163401,1634,5
163801,1638,5
163802,1638,5
163803,1638,0
163804,1638,0
163901,1639,0
163902,1639,0
163903,1639,0
163904,1639,0
