"R0000100","T8671700","T8671900","T8672100","T8672400","T8672500"
99,-4,-4,-4,-4,-4
100,-4,-4,-4,-4,-4
101,0,-4,-4,-4,-4
102,0,-4,-4,-4,-4
103,-4,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,-5,-5,-5,-5,-5
106,0,-4,-4,-4,-4
107,40000,-4,-4,-4,-4
108,55000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,42000,-4,-4,-4,-4
111,-4,-4,-4,-4,-4
112,0,-4,-4,-4,-4
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,-1,-4,-4,-4,1
116,-5,-5,-5,-5,-5
117,98000,-4,-4,-4,-4
118,-5,-5,-5,-5,-5
119,-2,-2,-2,-4,-4
120,-4,-4,-4,-4,-4
121,-4,-4,-4,-4,-4
122,75000,-4,-4,-4,-4
123,-5,-5,-5,-5,-5
124,-5,-5,-5,-5,-5
125,-5,-5,-5,-5,-5
126,-5,-5,-5,-5,-5
127,-5,-5,-5,-5,-5
128,-1,-4,-4,1,-4
129,-4,-4,-4,-4,-4
130,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5
133,-2,-2,-2,-4,0
134,60000,-4,-4,-4,-4
135,60000,-4,-4,-4,-4
136,-4,-4,-4,-4,-4
137,96000,-4,-4,-4,-4
138,180000,-4,-4,-4,-4
139,-5,-5,-5,-5,-5
140,150000,-4,-4,-4,-4
141,0,-4,-4,-4,-4
142,-5,-5,-5,-5,-5
143,-5,-5,-5,-5,-5
144,0,-4,-4,-4,-4
145,-4,-4,-4,-4,-4
146,-4,-4,-4,-4,-4
147,-5,-5,-5,-5,-5
148,54000,-4,-4,-4,-4
149,85000,-4,-4,-4,-4
150,-5,-5,-5,-5,-5
151,-4,-4,-4,-4,-4
152,114000,-4,-4,-4,-4
153,40000,-4,-4,-4,-4
154,-5,-5,-5,-5,-5
155,-5,-5,-5,-5,-5
156,-5,-5,-5,-5,-5
157,134000,-4,-4,-4,-4
158,15000,-4,-4,-4,-4
159,160000,-4,-4,-4,-4
160,60000,-4,-4,-4,-4
161,-4,-4,-4,-4,-4
162,-5,-5,-5,-5,-5
