R0000100,R0011500,R0225400,R0413000,R0658800,R0902700,R1202500,R1601800,R1901800,R2301800,R2502900,R2902900,R3103300,R3503300,R3703300,R7101001,T0011801,spouse_birth_year
98,-4,-4,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,57
99,-4,-4,-5,55,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,55
100,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-3,-4,-4,-1904,-1904,-3
101,-4,-4,-4,-4,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,58
102,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,-4,-1904,-1904,65
103,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-1904,-1904,57
104,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
105,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,-4,-4,57,-1905,-1904,57
106,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
107,-4,-4,-4,-4,-4,-4,-4,-4,-4,68,-4,-4,-4,-4,-1904,70,70
108,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,62,-4,-1904,-1904,62
109,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
110,-4,-4,-4,-4,-4,54,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,54
111,-4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,55
112,-4,-4,-4,56,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,56
113,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
114,-4,-4,58,-4,-4,-4,-4,-5,-4,-5,-4,-4,-5,-5,-1905,-1905,58
115,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
116,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-4,-5,-1905,-1905,-4
117,-4,-4,-4,-4,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,59
118,-4,-4,-4,55,-4,-4,-4,-4,-5,-5,-4,60,-4,-4,-1905,-1905,60
119,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
120,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
121,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
122,-4,-4,-4,-4,-4,-4,-4,-4,-4,61,-4,-4,-4,-4,56,-1904,61
123,-4,-4,-4,-4,-4,-4,60,-5,-4,-4,-4,-4,-5,-5,-1905,-1905,60
124,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,57,-4,-1904,-1904,57
125,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-1904,-1905,-4
126,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-3
127,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-4,-1905,-1905,-4
128,-4,-4,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,53
129,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
130,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
131,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
132,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
133,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-4,-1904,-1904,63
134,-4,-4,-4,-4,-4,-4,-4,-4,-5,65,-4,-4,-4,-4,-1905,-1905,65
135,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,66,-4,-4,-1904,-1905,66
