"R0000100","R8325800","R8326000","R8326200","R8326400","R8326500"
212,65000,-4,-4,-4,-4
213,-4,-4,-4,-4,-4
214,-4,-4,-4,-4,-4
215,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,-5
217,-5,-5,-5,-5,-5
218,0,-4,-4,-4,-4
219,65000,-4,-4,-4,-4
220,-4,-4,-4,-4,-4
221,-4,-4,-4,-4,-4
222,-4,-4,-4,-4,-4
223,12000,-4,-4,-4,-4
224,-4,-4,-4,-4,-4
225,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4
228,5100,-4,-4,-4,-4
229,-4,-4,-4,-4,-4
230,-4,-4,-4,-4,-4
231,7656,-4,-4,-4,-4
232,-4,-4,-4,-4,-4
233,0,-4,-4,-4,-4
234,-5,-5,-5,-5,-5
235,0,-4,-4,-4,-4
236,55000,-4,-4,-4,-4
237,-4,-4,-4,-4,-4
238,-5,-5,-5,-5,-5
239,0,-4,-4,-4,-4
240,35000,-4,-4,-4,-4
241,-5,-5,-5,-5,-5
242,-4,-4,-4,-4,-4
243,-4,-4,-4,-4,-4
244,65000,-4,-4,-4,-4
245,100000,-4,-4,-4,-4
246,-5,-5,-5,-5,-5
247,51000,-4,-4,-4,-4
248,-4,-4,-4,-4,-4
249,56000,-4,-4,-4,-4
250,47000,-4,-4,-4,-4
251,0,-4,-4,-4,-4
252,43000,-4,-4,-4,-4
253,-4,-4,-4,-4,-4
254,-4,-4,-4,-4,-4
255,110000,-4,-4,-4,-4
256,20000,-4,-4,-4,-4
257,-4,-4,-4,-4,-4
258,30859,-4,-4,-4,-4
259,-4,-4,-4,-4,-4
260,30000,-4,-4,-4,-4
261,-2,0,0,-4,-4
262,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5
265,125000,-4,-4,-4,-4
266,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5
268,-4,-4,-4,-4,-4
269,5000,-4,-4,-4,-4
270,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5
272,309409,-4,-4,-4,-4
273,5000,-4,-4,-4,-4
274,68400,-4,-4,-4,-4
275,93000,-4,-4,-4,-4
276,-5,-5,-5,-5,-5
277,-5,-5,-5,-5,-5
278,-2,-2,-2,-4,-4
279,-4,-4,-4,-4,-4
280,-5,-5,-5,-5,-5
281,0,-4,-4,-4,-4
282,90000,-4,-4,-4,-4
283,-4,-4,-4,-4,-4
284,-4,-4,-4,-4,-4
285,42000,-4,-4,-4,-4
286,-4,-4,-4,-4,-4
287,10000,-4,-4,-4,-4
288,-4,-4,-4,-4,-4
289,-4,-4,-4,-4,-4
290,25000,-4,-4,-4,-4
291,-4,-4,-4,-4,-4
292,66000,-4,-4,-4,-4
293,99000,-4,-4,-4,-4
294,70000,-4,-4,-4,-4
295,-5,-5,-5,-5,-5
296,-2,-2,-2,0,-4
297,-4,-4,-4,-4,-4
298,-5,-5,-5,-5,-5
299,-4,-4,-4,-4,-4
300,-5,-5,-5,-5,-5
301,-4,-4,-4,-4,-4
302,-4,-4,-4,-4,-4
303,-4,-4,-4,-4,-4
304,-4,-4,-4,-4,-4
305,-4,-4,-4,-4,-4
306,-5,-5,-5,-5,-5
307,30000,-4,-4,-4,-4
308,0,-4,-4,-4,-4
309,7000,-4,-4,-4,-4
310,50000,-4,-4,-4,-4
311,-4,-4,-4,-4,-4
312,-4,-4,-4,-4,-4
313,-4,-4,-4,-4,-4
314,-5,-5,-5,-5,-5
