code,birthyear,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62
11,1959,,9693.83163,,5292.074021,9597.559647,18077.13989,37218.30823,41980.84389,,,,84818.99513,130662.6785,135983.5209,88060.10525,93241.45386,153442.1395,,85858.0116,,33961.50452,,71997.91385,,18472.3221,,17780.28992,,,,,,,,,,,,,,,,,,
12,1959,,6755.597836,3001.549356,15876.22206,21583.71735,42255.3145,45975.55723,52476.05487,,,,,,,,62160.96924,64303.41598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1958,,,6685.401124,9013.661729,26460.37011,44366.5301,33894.6373,37218.30823,44224.72,47030.25349,4376.693682,42219.76678,57160.62715,70359.39769,76769.33223,67245.89855,71485.11462,61888.26421,,74410.27672,,56511.94351,,78543.17874,,44333.57304,,45043.40113,,8932.506081,,,,,,,,,,,,,,,
14,1963,5036.200714,6778.92746,6786.867972,11544.73207,12162.99659,34814.60884,45098.38724,25814.47678,42215.63861,41722.46317,49633.8775,43512.67847,43774.6259,,41498.03894,,40753.80542,,62834.54299,,81278.21724,,105496.3869,,129521.3382,,89391.82729,,96558.04127,,98878.56047,,42121.48159,,64399.95863,,,,,,,,,,
15,1964,2033.678238,2846.105924,4617.892828,2432.599318,15915.24975,4797.70077,,,3337.797053,48032.78468,40404.63,45284.09576,,54376.74068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1958,,,27410.14461,33050.093,18522.25907,28298.65163,35024.45855,35028.99598,40931.3228,46624.82027,53713.96792,65248.73047,67302.02875,63323.45792,58411.44843,60040.98085,52836.82385,42265.15604,,35774.1715,,29886.12397,,49744.0132,,48028.03746,,77047.92299,,79275.99147,,69410.12472,,65049.6278,,67857.83562,,69266.4364,,91999.9409,,80062.94207,,79321.62407,
17,1957,,,,33427.00562,40411.25008,39690.55516,38371.05306,36154.27979,39407.62048,37782.75951,32434.65758,39788.12439,46057.92739,49785.06236,56287.51815,20026.78232,24016.39234,18648.29077,24261.70904,,28619.3372,,23773.05316,,62834.54299,,94824.58678,,73491.865,,48012.22018,,52583.42782,,50820.02172,,58163.8591,,63650.23885,,67159.95686,,61381.58892,,65674.89305
18,1958,,,15042.15253,15022.76955,31752.44413,35972.86225,38413.92228,54732.80622,62971.26584,67727.61936,55703.37414,109625.5435,115862.7474,130662.6785,135983.5209,144618.7092,156875.6381,153442.1395,,114477.3488,,100526.0534,,157086.3575,,290631.2011,,94828.21291,,133987.5912,,105166.8556,,60984.02607,,145409.6477,,141340.9716,,110399.9291,,133438.2368,,153525.724,
19,1957,,,,13370.80225,25538.70823,26460.37011,21583.71735,,,,1013.583049,11936.43732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1959,,4011.240674,3605.464691,3969.055516,19185.52653,45192.84974,45975.55723,41980.84389,48651.98637,53713.96792,53734.24863,55316.73596,59805.48803,40053.56464,56038.24879,59052.92078,61586.37024,,65824.47556,,65206.08867,,68070.75491,,55416.9663,,87716.09694,,71460.04865,,92546.83296,,,,111480.7299,,104835.6875,,116839.9249,,,,,,
21,1961,5819.820923,8731.922135,4796.381633,13557.85492,17295.56677,15008.15169,26403.83844,36804.01506,41739.9967,51628.95356,52769.54826,53404.75285,56038.24879,63714.99347,76228.22786,,79418.66073,,74715.30993,,107342.3443,,135463.6954,,118535.2661,,312432.2652,,323727.77,,317446.2493,,333307.9946,,346626.0963,,119599.9232,,,,23881.77929,,,,
22,1963,4796.381633,5649.106217,9414.04267,9025.881437,17920.14831,18899.35908,35502.9857,30424.20478,27264.2666,27036.15613,28179.23368,27817.03373,26717.6165,,21464.5029,,47546.10632,,47125.90725,,43102.0849,,11853.52661,,50580.31568,,47956.08617,,40656.01738,,38775.90607,,9641.13912,,38823.97506,,,,,,,,,,
23,1958,,,15376.42258,25238.25284,8731.922135,6714.934286,,,,,,,,,83444.92633,72049.17702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1961,5994.085049,5027.47032,21104.07918,13772.52096,,8396.168779,16217.32879,35809.31195,46057.92739,55316.73596,52769.54826,,17612.02105,49728.77539,52831.44505,,45790.93952,,46187.64614,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1959,,1076.349581,12174.45244,25137.3516,26380.09898,24856.06735,24082.43474,27287.54853,34259.10707,38793.42128,40300.68647,41487.55197,43974.62355,36715.76759,13449.17971,12432.19385,18113.6383,,25757.40348,,20376.90271,,26181.05958,,24629.7628,,23707.05323,,25680.95498,,34705.06236,,33297.27823,,33928.91781,,33697.18527,,45999.97045,,42700.23577,,47957.17158,,
26,1962,5027.47032,8633.486939,8360.677201,15325.18574,2260.668444,,,,,,,,,,,,,,,,,,,,,,,,,96558.04127,,101786.7534,,,,,,,,,,,,,
27,1960,7236.946717,8550.960426,19316.07018,23159.32871,27115.70984,30540.90587,36943.14263,7500.514565,,,,,,,,,,236.1095319,,11599.89148,,17182.6294,,,,,,,,16583.76146,,16262.40695,,15545.26074,,43057.51452,,156552.6194,,51596.11822,,170584.1378,,,
28,1964,8360.677201,18828.08534,26238.02743,30097.33507,30835.7964,35502.9857,39643.66077,45733.6085,38384.66611,20814.2067,38850.60577,30189.39717,,22895.46976,,19018.44253,,31417.2715,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1960,22596.6558,23285.2928,24713.98568,19665.16469,27793.60259,31195.51023,29386.59073,31962.32788,33819.90573,36462.52585,38721.71517,52769.54826,58411.44843,59240.43444,63714.99347,,,58669.64126,,67923.00903,,65452.64895,,75120.77654,,73491.865,,94907.87711,,65203.45049,,30492.01303,,5040.867789,,,,,,,,,,,
30,1958,,,16081.7324,22834.60971,26989.57751,3597.286225,,5429.494377,5877.318145,49716.24857,10557.77881,,,,,,,,,,,,,,,,,42672.69581,,,,,,,,,,,,,,,,,
31,1963,,,,5933.992284,27569.45894,31830.49951,12474.022,36877.82397,26384.77413,25033.4779,33622.94928,34188.53308,46793.56562,,,,50263.02668,,34035.37746,,44333.57304,,42672.69581,,44662.5304,,48376.75359,,,,40714.70137,,24336.85603,,36799.97636,,35583.52981,,41793.11376,,,,,,
32,1957,,,,668.5401124,,3704.451815,26380.09898,22596.42487,21893.12249,23089.46414,12162.99659,11936.43732,44138.84709,46097.27996,,,9606.556936,46620.72693,45284.09576,,44359.97266,,,,,,,,88901.4496,,39079.7141,,,,76230.03258,,,,,,,,,,
33,1962,,,,,,,,,,,6675.594107,5123.497033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1958,,,2139.32836,10215.48329,15876.22206,25660.64174,45192.84974,80071.90619,54575.09706,40543.32197,59682.18658,61410.56986,73755.64794,8794.924711,75100.4337,67245.89855,66823.04193,63397.73407,,34343.20464,,47546.10632,,45816.85427,,30787.2035,,35560.57984,,312432.2652,,3786.006803,,30492.01303,,51378.07554,,24336.85603,,,,,,,
35,1963,,,,18891.37975,19258.07794,25862.28085,36462.52585,,40456.65367,39719.78493,36825.13492,38850.60577,40755.68619,,27188.37034,,32603.04434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1962,3704.451815,7194.572449,22031.51425,29242.64371,18891.37975,,45756.34304,72925.05171,84818.99513,,41210.11132,40027.32057,37607.38639,41208.52714,,27188.37034,,55696.86741,,,,80046.7291,,136315.5561,,,,31550.05669,,,,37321.80959,,26208.92188,,,,77394.17733,,66527.81374,,,,,
37,1958,,,25738.79433,28543.26214,34398.48114,28778.2898,28245.53108,28898.92169,28756.87807,31015.64131,32427.32137,36462.52585,38721.71517,36938.68378,16688.98527,,,,,,,3260.304434,,17017.68873,,36944.6442,,40301.99049,,41312.84062,,39963.40514,,44721.61912,,42653.49667,,42121.48159,,45999.97045,,42700.23577,,45204.79651,
38,1962,2249.131459,10072.40143,23500.28186,24082.43474,14063.5827,24325.99318,25862.28085,38381.60616,38721.71517,40104.85668,41722.46317,41628.41339,52836.82385,50552.14557,,42929.0058,,55696.86741,,57598.33108,,71426.31212,,72493.79806,,78159.42821,,91495.1644,,99099.04236,,90153.9816,,89859.16073,,119599.9232,,106750.5894,,110026.7689,,,,,
39,1959,,24034.01704,,10584.14804,23981.90816,28019.56684,37218.30823,14693.29536,30407.49148,52719.26481,64864.91441,70067.86554,79154.3224,75100.4337,144618.7092,83917.30847,72454.55322,,77272.21044,,73356.84975,,74616.01981,,92361.6105,,65194.39637,,74809.73843,,59945.10771,,60984.02607,,60102.6544,,60842.14008,,57959.96277,,57823.23594,,55439.84478,,
40,1960,1337.080225,9013.661729,1058.414804,,40673.56476,32839.68373,,,5968.218658,,7375.564794,1319.238707,5841.144843,2241.529952,3885.060577,45284.09576,,3577.41715,,,,,,1970.381024,,829.746863,,,,,,40656.01738,,43622.89432,,14040.49386,,34591.97778,,31135.58858,,63969.05167,,,
41,1962,1323.018505,11990.95408,27115.70984,30650.37148,32745.05824,34461.82368,39788.12439,42219.76678,55316.73596,61564.47297,80107.12928,144618.7092,156875.6381,90568.19152,,95874.77962,,,,150541.0926,,129306.2547,,86530.74428,,133987.5912,,105166.8556,,132132.0565,,126021.6947,,131044.6094,,156399.8995,,160125.8841,,170584.1378,,,,,
42,1963,4076.924388,2711.570984,13135.87349,37782.75951,30407.49148,,,,52769.54826,40053.56464,14409.8354,45843.71481,48303.03548,,50083.8401,,57055.32759,,65452.64895,,55416.9663,,56896.92775,,50245.3467,,53635.09637,,48787.22085,,43622.89432,,56161.97546,,57039.96336,,,,,,,,,,
43,1961,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,
44,1961,4807.286255,18522.25907,12266.74603,,2627.174699,,,,,,,,4803.278468,8080.926001,,,,,,,,,,,,,8039.255473,,21327.83832,,29597.58065,,,,42121.48159,,40185.57418,,59673.57949,,63969.05167,,,,
45,1959,,10696.6418,37556.92387,37044.51815,26380.09898,29827.28083,36123.65211,35683.71731,44597.65417,43766.93682,72925.05171,64536.19195,70359.39769,53404.75285,40027.32057,,30189.39717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1962,10584.14804,6714.934286,,,1637.252912,5067.915247,35809.31195,51815.16832,51628.95356,56287.51815,56742.54991,54437.15597,51282.79962,54340.91491,,25757.40348,,40753.80542,,39271.58937,,40639.10862,,41487.34315,,46895.65692,,50480.0907,,,,,,,,,,,,,,,,,
47,1959,,30084.30506,47171.49638,51068.5143,51081.46439,31634.99482,21893.12249,48277.97048,60612.26635,61671.5928,63329.65017,62692.30075,70359.39769,75100.4337,56038.24879,73039.13885,64907.20392,,77272.21044,,103242.9737,,85088.44364,,71420.15468,,49784.81178,,74038.19321,,71513.46183,,69115.22954,,72704.82387,,84242.96319,,91999.9409,,93406.76575,,92968.35509,,
48,1958,,,20056.20337,36054.64691,,38371.05306,45192.84974,,,,,,47941.17116,,20026.78232,16010.92823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1958,,,13370.80225,30045.5391,26460.37011,29977.3852,32764.81606,19898.65903,18891.37975,25655.81415,33819.90573,26867.12431,31346.15037,33772.51089,36715.76759,39638.25501,42294.32347,36136.70842,,44633.28733,,44829.18596,,43671.31643,,43102.0849,,47295.57119,,37963.15084,,,,55902.02389,,70766.02857,,468.0164621,,30249.58057,,,,26440.54136,
50,1958,,,23295.28022,24421.01418,13230.18505,28001.27597,29375.35233,31745.02761,35683.71731,38516.15588,38992.3619,40300.68647,18254.52287,4573.36085,39552.89508,43229.50621,35742.55731,4709.545959,,14309.6686,,20376.90271,,35344.43043,,25861.25094,,35560.57984,,,,38280.73545,,50311.8215,,53316.87084,,60842.14008,,61639.9604,,53375.29471,,38381.431,
51,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1958,,,23398.90393,40561.47778,44982.62918,40769.24388,49712.13471,54732.80622,58773.18145,,,,,,,,,,,,,,,,,,,,,,,,,,,333307.9946,,346626.0963,,306317.4832,,,,,
53,1963,2146.380781,,875.7248996,6297.126584,1013.583049,1193.643732,,,6684.14278,,,,,,,,,,1570.863575,,,,,,362.8830595,,2579.742969,,6098.402607,,,,,,,,,,,,,,,,
54,1958,,,33427.00562,33050.093,5292.074021,43167.43469,40673.56476,39407.62048,39881.8017,66896.48126,67639.81146,47977.0077,51628.95356,52769.54826,53404.75285,49633.8775,48174.75116,,,,,27169.20361,,52362.11916,,51722.50188,,,,,,,,40656.01738,,,,41185.44867,,38639.97518,,46258.58875,,,
55,1958,,,16713.50281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1958,,,10796.92282,6009.107819,2646.037011,479.6381633,16940.53972,22987.77861,25188.50634,30407.49148,35610.37133,47977.0077,47941.17116,45733.6085,40053.56464,49633.8775,,33208.33689,,31481.27092,,12226.14163,,3272.632448,,1477.785768,,10668.17395,,13398.75912,,53635.09637,,62000.4265,,29081.92955,,29017.02065,,47839.96927,,32843.59801,,38381.431,
58,1957,,,,23398.90393,18294.72876,29106.40712,23981.90816,27115.70984,27585.33434,20990.42195,29393.90843,36804.01506,42219.76678,43331.44317,40456.65367,43391.36169,43229.50621,46620.72693,50114.39931,,52659.58045,,51621.48686,,56289.2781,,,,64009.04371,,61969.26094,,65203.45049,,98590.84214,,108.572537,,102963.6217,,110252.7292,,114756.8836,,107468.0068
59,1959,,13370.80225,,30164.82192,33569.87505,33894.6373,35028.99598,33941.51229,40543.32197,42175.41185,43908.55745,47941.17116,49251.57838,48398.05727,43229.50621,45066.7027,43774.6259,,42929.0058,,57055.32759,,40580.64235,,,,52155.5171,,,,45936.88254,,45941.29964,,43622.89432,,,,41399.9734,,40031.47103,,38381.431,,
60,1961,4506.830864,21168.29608,,71221.67154,54732.80622,50377.01267,55138.91788,118144.8671,109625.5435,115862.7474,130662.6785,,144618.7092,101011.575,98115.54082,,82996.07788,,95092.21264,,65452.64895,,,,,,,,,,,,100817.3558,,,,,,,,,,,,
61,1962,13230.18505,19904.98378,18077.13989,10946.56124,32444.8952,36943.07498,37937.9766,33583.90539,21490.55192,37994.07475,40721.12405,37579.24964,54390.84808,42265.15604,,45934.0362,,45372.57003,,52362.11916,,64037.38328,,65787.07271,,70343.48539,,68358.45616,,,,,,,,,,8895.882452,,8529.206889,,,,,
62,1964,13557.85492,17514.49799,18891.37975,18244.49489,27851.68707,28786.20462,33190.04157,35179.69884,41722.46317,40027.32057,40404.63,41978.35677,,40067.07208,,43199.03374,,44507.80129,,33250.17978,,34375.22718,,33496.8978,,33443.06009,,46754.41998,,49439.28023,,54289.90961,,59799.96158,,57823.23594,,42646.03445,,,,,,,
63,1960,13370.80225,13520.49259,7938.111032,8393.667857,4067.356476,15325.18574,35683.71731,44597.65417,69629.21768,,,,,,86248.34482,98115.54082,,97305.74648,,201011.3529,,150541.0926,,147778.5768,,142242.3194,,120588.8321,,126200.2268,,142296.0608,,159950.6125,,140404.9386,,142599.9084,,145002.884,,170584.1378,,,
64,1961,7511.384774,31752.44413,16787.33571,18077.13989,28898.92169,19940.90085,20879.81082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1963,4796.381633,2711.570984,2189.312249,3148.563292,12162.99659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1964,5649.106217,10946.56124,2099.042195,24325.99318,,,,,,,,,,,,,,,,,,,,27914.0815,,,,,,,,,,,,,,,,,,,,,
67,1958,,,13370.80225,7511.384774,30760.18025,69487.5789,44063.02849,29336.78414,,,118144.8671,109625.5435,,130662.6785,135983.5209,144618.7092,156875.6381,153442.1395,,198582.426,,,,,,290631.2011,,,,,,323727.77,,317446.2493,,333307.9946,,346626.0963,,119599.9232,,4803.776524,,4691.063789,
68,1962,4498.262918,5755.657959,8360.677201,8100.455321,22039.94304,44597.65417,55703.37414,82520.45325,115862.7474,87949.24711,80107.12928,48032.78468,68377.06616,40151.89824,,,,,,,,,,,,,,,,,,,,,,18399.98818,,889.5882452,,426.4603445,,,,,
69,1964,3389.46373,4378.624498,3778.275951,10135.83049,,,,,,,54390.84808,60378.79435,,64393.5087,,71998.38957,,91633.70853,,87435.65794,,111423.1502,,133987.5912,,154595.2778,,148394.4634,,140562.6595,,131044.6094,,114999.9261,,115646.4719,,123673.4999,,,,,,,
70,1961,6610.018601,16405.42947,4796.381633,3615.427979,4378.624498,13433.87005,10135.83049,31830.49951,47017.46755,55316.73596,54528.53321,41722.46317,65644.80573,38850.60577,40755.68619,,42929.0058,,40753.80542,,,,,,53340.86976,,,,52583.42782,,40656.01738,,38775.90607,,31825.11943,,36799.97636,,44479.41226,,66527.81374,,,,
71,1963,4796.381633,4519.284974,5473.280622,4617.892828,4054.332197,5968.218658,17271.72277,23048.63998,,135983.5209,144618.7092,156875.6381,,,198582.426,,201011.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1959,,6016.861012,4506.830864,3969.055516,11990.95408,14687.67616,21455.26004,28337.06963,31421.07453,40782.8275,42219.76678,42409.49757,50131.07085,50066.9558,51234.97033,38850.60577,22642.04788,,18602.56918,,26489.97352,,47125.90725,,44333.57304,,43858.04847,,49128.78344,,42592.57653,,45738.01955,,40714.70137,,43057.51452,,38639.97518,,41810.64752,,40087.27238,,
73,1963,4796.381633,6778.92746,5473.280622,16792.33756,5067.915247,,20150.34323,51628.95356,,,,62160.96924,42265.15604,,15740.63546,,,,283017.2541,,290631.2011,,142242.3194,,312432.2652,,157750.2834,,111804.0478,,,,346626.0963,,306317.4832,,353139.8457,,,,,,,,
74,1959,,8691.021461,11765.83311,11377.95915,13669.68765,33894.6373,9851.90512,12594.25317,14190.16269,29841.09329,28786.20462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1962,5292.074021,1918.552653,2033.678238,3502.899598,4198.084389,27366.74233,41777.53061,26867.12431,49785.06236,45733.6085,48398.05727,56038.24879,46620.72693,60378.79435,,54376.74068,,57055.32759,,39271.58937,,,,35560.57984,,44662.5304,,52583.42782,,86394.03693,,111480.7299,,109515.8521,,137999.9113,,177917.649,,153525.724,,,,,
76,1964,677.892746,3065.037148,7346.647682,7500.514565,27851.68707,25907.58416,29502.25918,80913.30734,43391.36169,41628.41339,37296.58154,36227.27661,,34343.20464,,35319.9647,,39271.58937,,44333.57304,,44557.40654,,41312.84062,,52583.42782,,71148.03041,,67857.83562,,56161.97546,,101199.935,,62271.17716,,59704.44823,,,,,,,
77,1964,1581.749741,1970.381024,2099.042195,3648.898978,25862.28085,42219.76678,44253.38876,51010.56332,51568.96447,64043.71291,69931.09039,65209.0979,,67255.44242,,95092.21264,,73306.96683,,83741.19352,,81762.07052,,106073.5097,,78875.14172,,111804.0478,,87245.78865,,125428.4119,,137999.9113,,37362.7063,,136467.3102,,,,,,,
78,1957,,,,2339.890393,17414.39446,39690.55516,32375.57602,42933.20725,42691.58885,35683.71731,34461.82368,38693.95097,49896.08801,47941.17116,2462.578919,25854.57598,16651.36536,,,,,,,,,,,,19348.51149,,16365.4677,,,,,,,,,,,,,,
79,1960,4345.510731,6910.473992,8996.525836,4076.924388,2259.642487,,,40543.32197,66913.67819,109625.5435,115862.7474,130662.6785,135983.5209,144618.7092,156875.6381,153442.1395,,198582.426,,201011.3529,,283017.2541,,290631.2011,,315224.3893,,,,,,,,,,,,,,,,,,,
80,1963,4796.381633,4519.284974,,3568.371731,,,,,12312.89459,12516.73895,12808.74258,11655.18173,24151.51774,,17171.60232,,19018.44253,,20290.32118,,12930.62547,,15409.5846,,14515.32238,,16826.6969,,32524.8139,,22296.14599,,22261.67104,,22079.98582,,25798.05911,,46910.63789,,,,,,
81,1964,,,1259.425317,,2188.346841,6524.873047,5531.673596,5276.954826,6675.594107,4803.278468,6216.096924,6037.879435,,22895.46976,,,,14399.58277,,,,47414.10645,,44662.5304,,,,,,,,50545.77791,,22999.98522,,64050.35366,,32410.98618,,,,,,,
82,1958,,,11030.91185,,,,,,,,,,,,,,,,,3291.223778,,,,,,,,,,,,,,,,,,,,,,,,,
83,1960,,12018.21564,5292.074021,10791.85867,13309.29425,10946.56124,9619.910378,14184.08119,9947.031097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1963,1122.353302,6778.92746,,,,,,,,,,,301.8939717,,1287.870174,,,,,,14777.85768,,,,,,,,,,,,,,,,,,,,,,,,
85,1959,,4903.741724,,1058.414804,1678.733571,,2189.312249,4198.084389,5270.631857,,,,1846.934189,,,,150.9469859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1960,1671.350281,1201.821564,,,,,,,,,,,1051.406072,3042.076363,3418.853308,,,14309.6686,,13584.60181,,19635.79469,,12314.8814,,12446.20294,,15631.88564,,13671.69123,,11180.40478,,21326.74834,,22464.79018,,22079.98582,,20460.52964,,15352.5724,,,
87,1963,,,,18891.37975,31623.79114,35809.31195,,27658.36798,31661.72896,11682.28969,20013.66028,24864.38769,3773.674647,,11447.73488,,24452.28325,,18326.74171,,17240.83396,,8890.14496,,18981.57542,,29446.71958,,26435.5589,,23265.54364,,,,13799.99113,,,,85.29206889,,,,,,
88,1957,,,,13370.80225,15022.76955,37044.51815,41968.33929,31634.99482,37831.31566,25188.50634,8919.530834,55703.37414,53734.24863,27473.97886,38697.66873,35881.31832,48032.78468,32634.50885,30189.39717,,33055.33446,,32059.66026,,40580.64235,,,,,,26797.51824,,35756.73091,,30492.01303,,24234.94129,,33697.18527,,32199.97931,,32025.17683,,36675.58962
89,1959,,10028.10169,4506.830864,6615.092526,5995.477041,20336.78238,27366.40311,34004.48355,35475.40673,43766.93682,47017.46755,50707.00796,54528.53321,60080.34696,57639.34162,53613.83597,58869.32449,,58669.64126,,50263.02668,,52362.11916,,59111.43072,,56896.92775,,69226.92213,,58893.43915,,,,,,,,66239.95745,,66719.11839,,67380.73443,,
90,1958,,,6016.861012,2403.643128,22755.91829,17986.43112,2711.570984,36123.65211,41141.22702,48246.55315,57095.95849,65632.54654,68223.97435,73877.36757,80107.12928,86459.01243,83917.30847,95096.6011,,91581.87904,,89658.37192,,117814.7681,,131153.4869,,124462.0294,,16748.4489,,126200.2268,,130099.2556,,116327.7182,,120748.2472,,134319.9137,,124542.3543,,55439.84478,
91,1963,,4270.7243,3421.895045,,3851.615588,5968.218658,24948.044,36877.82397,33420.7139,46729.15875,44830.59904,23310.36346,48303.03548,,48652.87324,,47546.10632,,,,71426.31212,,47414.10645,,33496.8978,,31550.05669,,30492.01303,,21326.74834,,37441.31697,,36799.97636,,13343.82368,,,,,,,,
92,1962,7938.111032,10050.81771,2575.992435,3553.25378,6716.935023,6892.364736,6366.099902,6716.781078,4425.338876,4397.462355,5841.144843,1521.038182,4662.072693,5283.144505,,5723.86744,,9509.221264,,23432.04833,,23398.27466,,24892.40589,,27914.0815,,25240.04535,,26365.42727,,34898.31546,,38377.3499,,38639.97518,,44479.41226,,40087.27238,,,,,
93,1964,9942.426942,4378.624498,,,,13433.56216,29502.25918,33420.7139,31542.18215,30260.65435,27972.43616,25660.9876,,31481.27092,,43470.72578,,52362.11916,,89898.63422,,87716.09694,,89732.6064,,100960.1814,,86394.03693,,84337.59569,,45865.61329,,57039.96336,,62271.17716,,59704.44823,,,,,,,
94,1957,,,,7353.941236,24036.43128,31752.44413,38371.05306,36154.27979,37218.30823,41980.84389,42570.48807,45756.34304,,44253.38876,42215.63861,45060.26022,40027.32057,,40755.68619,,38636.10522,,,,43198.74831,,51722.50188,,47414.10645,,46895.65692,,44170.07936,,44721.61912,,42653.49667,,46801.64621,,,,48037.76524,,
95,1960,10028.10169,24036.43128,15347.01466,21583.71735,18077.13989,26271.74699,27287.54853,24325.99318,,767.6321232,,351.7969884,10013.39116,11207.64976,9324.145386,18113.6383,,15740.63546,,16301.52217,,26181.05958,,39407.62048,,33189.87452,,33496.8978,,46273.41648,,46754.41998,,48469.88258,,48673.71206,,29439.98109,,35583.52981,,48616.47927,,,
96,1961,21031.87737,17331.54242,599.5477041,4519.284974,11603.35492,20150.80507,28380.32538,29841.09329,28786.20462,36877.82397,31661.72896,36715.76759,28819.67081,35742.55731,34717.80675,,32912.23778,,47546.10632,,49744.0132,,34481.66792,,45043.40113,,24006.11009,,47325.08503,,54377.42324,,48469.88258,,48673.71206,,52439.96631,,54264.88296,,54586.92409,,,,
