"R0000100","R8316300","R8316400","R8316500","R8316700","R8316800"
99,8400,-4,-4,-4,-4
100,54000,-4,-4,-4,-4
101,96000,-4,-4,-4,-4
102,-1,-4,-4,-4,-4
103,62000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,32497,-4,-4,-4,-4
106,93000,-4,-4,-4,-4
107,44000,-4,-4,-4,-4
108,70000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,68000,-4,-4,-4,-4
111,37000,-4,-4,-4,-4
112,-2,5000,10000,-4,-4
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5
117,62000,-4,-4,-4,-4
118,-5,-5,-5,-5,-5
119,25000,-4,-4,-4,-4
120,265933,-4,-4,-4,-4
121,34078,-4,-4,-4,-4
122,100000,-4,-4,-4,-4
123,-5,-5,-5,-5,-5
124,0,-4,-4,-4,-4
125,-5,-5,-5,-5,-5
126,65000,-4,-4,-4,-4
127,-5,-5,-5,-5,-5
128,-5,-5,-5,-5,-5
129,75000,-4,-4,-4,-4
130,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5
133,52000,-4,-4,-4,-4
134,-5,-5,-5,-5,-5
135,63000,-4,-4,-4,-4
136,-2,-2,-2,0,-4
137,265933,-4,-4,-4,-4
138,8000,-4,-4,-4,-4
139,0,-4,-4,-4,-4
140,63000,-4,-4,-4,-4
141,58000,-4,-4,-4,-4
142,-5,-5,-5,-5,-5
143,53000,-4,-4,-4,-4
144,0,-4,-4,-4,-4
145,17000,-4,-4,-4,-4
146,56700,-4,-4,-4,-4
147,14000,-4,-4,-4,-4
148,26300,-4,-4,-4,-4
149,85000,-4,-4,-4,-4
150,240,-4,-4,-4,-4
151,-5,-5,-5,-5,-5
152,55000,-4,-4,-4,-4
153,24000,-4,-4,-4,-4
154,-5,-5,-5,-5,-5
155,60000,-4,-4,-4,-4
156,35000,-4,-4,-4,-4
157,-5,-5,-5,-5,-5
158,35000,-4,-4,-4,-4
159,-5,-5,-5,-5,-5
160,58000,-4,-4,-4,-4
161,45000,-4,-4,-4,-4
162,77000,-4,-4,-4,-4
163,-5,-5,-5,-5,-5
164,-5,-5,-5,-5,-5
165,20000,-4,-4,-4,-4
166,68000,-4,-4,-4,-4
167,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5
169,-5,-5,-5,-5,-5
170,-5,-5,-5,-5,-5
171,85000,-4,-4,-4,-4
172,0,-4,-4,-4,-4
173,-5,-5,-5,-5,-5
174,54000,-4,-4,-4,-4
175,-5,-5,-5,-5,-5
176,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5
178,35000,-4,-4,-4,-4
179,28000,-4,-4,-4,-4
180,78000,-4,-4,-4,-4
181,75000,-4,-4,-4,-4
182,-5,-5,-5,-5,-5
183,0,-4,-4,-4,-4
184,0,-4,-4,-4,-4
185,19000,-4,-4,-4,-4
186,0,-4,-4,-4,-4
187,-5,-5,-5,-5,-5
188,17000,-4,-4,-4,-4
189,80000,-4,-4,-4,-4
190,76000,-4,-4,-4,-4
191,125000,-4,-4,-4,-4
192,26000,-4,-4,-4,-4
193,101000,-4,-4,-4,-4
194,-1,-4,-4,-4,-4
195,265933,-4,-4,-4,-4
196,135000,-4,-4,-4,-4
197,19500,-4,-4,-4,-4
198,112000,-4,-4,-4,-4
199,45000,-4,-4,-4,-4
200,24000,-4,-4,-4,-4
201,265933,-4,-4,-4,-4
202,33000,-4,-4,-4,-4
203,-5,-5,-5,-5,-5
204,-5,-5,-5,-5,-5
205,-2,15000,20000,-4,-4
206,-5,-5,-5,-5,-5
207,33000,-4,-4,-4,-4
208,-5,-5,-5,-5,-5
209,-5,-5,-5,-5,-5
210,44000,-4,-4,-4,-4
211,0,-4,-4,-4,-4
212,65000,-4,-4,-4,-4
213,-1,-4,-4,1,-4
214,84000,-4,-4,-4,-4
215,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,-5
217,-5,-5,-5,-5,-5
218,265933,-4,-4,-4,-4
219,96313,-4,-4,-4,-4
220,97000,-4,-4,-4,-4
221,0,-4,-4,-4,-4
222,0,-4,-4,-4,-4
223,59000,-4,-4,-4,-4
224,11440,-4,-4,-4,-4
225,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5
227,23000,-4,-4,-4,-4
228,2100,-4,-4,-4,-4
229,0,-4,-4,-4,-4
230,50000,-4,-4,-4,-4
231,38400,-4,-4,-4,-4
232,37000,-4,-4,-4,-4
233,48000,-4,-4,-4,-4
234,-5,-5,-5,-5,-5
235,84000,-4,-4,-4,-4
236,41000,-4,-4,-4,-4
237,0,-4,-4,-4,-4
238,-5,-5,-5,-5,-5
239,-2,-2,-2,-4,-4
240,55000,-4,-4,-4,-4
241,-5,-5,-5,-5,-5
242,122,-4,-4,-4,-4
243,66000,-4,-4,-4,-4
244,4000,-4,-4,-4,-4
245,20000,-4,-4,-4,-4
246,-5,-5,-5,-5,-5
247,81500,-4,-4,-4,-4
248,0,-4,-4,-4,-4
249,0,-4,-4,-4,-4
250,0,-4,-4,-4,-4
251,0,-4,-4,-4,-4
252,7280,-4,-4,-4,-4
253,10000,-4,-4,-4,-4
254,22000,-4,-4,-4,-4
255,0,-4,-4,-4,-4
256,21000,-4,-4,-4,-4
257,13000,-4,-4,-4,-4
258,0,-4,-4,-4,-4
259,8000,-4,-4,-4,-4
260,60000,-4,-4,-4,-4
261,70000,-4,-4,-4,-4
262,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5
265,0,-4,-4,-4,-4
266,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5
268,0,-4,-4,-4,-4
269,265933,-4,-4,-4,-4
270,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5
272,0,-4,-4,-4,-4
273,58000,-4,-4,-4,-4
274,40000,-4,-4,-4,-4
275,35000,-4,-4,-4,-4
276,-5,-5,-5,-5,-5
277,-5,-5,-5,-5,-5
278,5000,-4,-4,-4,-4
279,52500,-4,-4,-4,-4
280,-5,-5,-5,-5,-5
281,93000,-4,-4,-4,-4
282,15000,-4,-4,-4,-4
283,52000,-4,-4,-4,-4
284,90000,-4,-4,-4,-4
285,27000,-4,-4,-4,-4
286,48700,-4,-4,-4,-4
287,28000,-4,-4,-4,-4
288,7000,-4,-4,-4,-4
289,20000,-4,-4,-4,-4
290,15000,-4,-4,-4,-4
291,10000,-4,-4,-4,-4
292,45000,-4,-4,-4,-4
293,23500,-4,-4,-4,-4
294,18000,-4,-4,-4,-4
295,-5,-5,-5,-5,-5
296,45000,-4,-4,-4,-4
297,15000,-4,-4,-4,-4
298,-5,-5,-5,-5,-5
299,22000,-4,-4,-4,-4
300,-5,-5,-5,-5,-5
301,35500,-4,-4,-4,-4
302,0,-4,-4,-4,-4
303,35000,-4,-4,-4,-4
304,0,-4,-4,-4,-4
305,36000,-4,-4,-4,-4
306,-5,-5,-5,-5,-5
307,27000,-4,-4,-4,-4
308,32000,-4,-4,-4,-4
309,70000,-4,-4,-4,-4
310,50000,-4,-4,-4,-4
311,29000,-4,-4,-4,-4
312,20000,-4,-4,-4,-4
313,45000,-4,-4,-4,-4
314,-5,-5,-5,-5,-5
315,0,-4,-4,-4,-4
316,-2,-2,-2,-4,-4
317,64000,-4,-4,-4,-4
318,-5,-5,-5,-5,-5
319,90000,-4,-4,-4,-4
320,80000,-4,-4,-4,-4
321,72000,-4,-4,-4,-4
322,500,-4,-4,-4,-4
323,-5,-5,-5,-5,-5
324,15000,-4,-4,-4,-4
325,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5
327,33000,-4,-4,-4,-4
328,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5
331,0,-4,-4,-4,-4
332,26000,-4,-4,-4,-4
333,67000,-4,-4,-4,-4
334,-5,-5,-5,-5,-5
335,12000,-4,-4,-4,-4
336,-5,-5,-5,-5,-5
337,0,-4,-4,-4,-4
338,37000,-4,-4,-4,-4
339,1500,-4,-4,-4,-4
340,-5,-5,-5,-5,-5
341,-5,-5,-5,-5,-5
342,83000,-4,-4,-4,-4
343,0,-4,-4,-4,-4
344,0,-4,-4,-4,-4
345,-5,-5,-5,-5,-5
346,117000,-4,-4,-4,-4
347,48000,-4,-4,-4,-4
348,265933,-4,-4,-4,-4
349,-1,-4,-4,-4,1
350,73000,-4,-4,-4,-4
351,0,-4,-4,-4,-4
352,0,-4,-4,-4,-4
353,-5,-5,-5,-5,-5
354,6500,-4,-4,-4,-4
355,265933,-4,-4,-4,-4
356,48000,-4,-4,-4,-4
357,70000,-4,-4,-4,-4
358,100000,-4,-4,-4,-4
359,68000,-4,-4,-4,-4
360,8000,-4,-4,-4,-4
361,-5,-5,-5,-5,-5
362,45000,-4,-4,-4,-4
363,0,-4,-4,-4,-4
364,70000,-4,-4,-4,-4
365,-2,-2,-2,1,-4
366,-5,-5,-5,-5,-5
367,54000,-4,-4,-4,-4
368,34700,-4,-4,-4,-4
369,7000,-4,-4,-4,-4
370,15000,-4,-4,-4,-4
371,-5,-5,-5,-5,-5
372,-1,-4,-4,-4,-4
373,18000,-4,-4,-4,-4
374,38000,-4,-4,-4,-4
375,18000,-4,-4,-4,-4
376,42000,-4,-4,-4,-4
377,-2,-2,-2,0,-4
378,-2,-2,-2,0,-4
379,-2,-2,-2,-2,-4
380,15600,-4,-4,-4,-4
381,110000,-4,-4,-4,-4
382,27600,-4,-4,-4,-4
383,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5
385,39535,-4,-4,-4,-4
386,43000,-4,-4,-4,-4
387,-1,-4,-4,-4,-4
388,65000,-4,-4,-4,-4
389,-5,-5,-5,-5,-5
390,-5,-5,-5,-5,-5
391,23000,-4,-4,-4,-4
392,40000,-4,-4,-4,-4
393,67000,-4,-4,-4,-4
394,0,-4,-4,-4,-4
395,0,-4,-4,-4,-4
396,20000,-4,-4,-4,-4
397,0,-4,-4,-4,-4
398,0,-4,-4,-4,-4
399,58000,-4,-4,-4,-4
400,84000,-4,-4,-4,-4
401,14000,-4,-4,-4,-4
402,0,-4,-4,-4,-4
403,0,-4,-4,-4,-4
404,-5,-5,-5,-5,-5
405,26000,-4,-4,-4,-4
406,36000,-4,-4,-4,-4
407,50000,-4,-4,-4,-4
408,70000,-4,-4,-4,-4
409,100000,-4,-4,-4,-4
410,30000,-4,-4,-4,-4
411,27000,-4,-4,-4,-4
412,35000,-4,-4,-4,-4
413,-5,-5,-5,-5,-5
414,20000,-4,-4,-4,-4
415,52000,-4,-4,-4,-4
416,0,-4,-4,-4,-4
417,50000,-4,-4,-4,-4
418,26156,-4,-4,-4,-4
419,26000,-4,-4,-4,-4
420,18000,-4,-4,-4,-4
421,92000,-4,-4,-4,-4
422,15000,-4,-4,-4,-4
423,-5,-5,-5,-5,-5
424,50000,-4,-4,-4,-4
425,24600,-4,-4,-4,-4
426,82000,-4,-4,-4,-4
427,-5,-5,-5,-5,-5
428,-5,-5,-5,-5,-5
429,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,-5
431,30050,-4,-4,-4,-4
432,-5,-5,-5,-5,-5
433,25000,-4,-4,-4,-4
434,49000,-4,-4,-4,-4
435,-5,-5,-5,-5,-5
436,-2,9000,11000,-4,-4
437,-2,19000,20000,-4,-4
438,23000,-4,-4,-4,-4
439,55000,-4,-4,-4,-4
440,-5,-5,-5,-5,-5
441,0,-4,-4,-4,-4
442,14000,-4,-4,-4,-4
443,41000,-4,-4,-4,-4
444,4830,-4,-4,-4,-4
445,72000,-4,-4,-4,-4
446,23000,-4,-4,-4,-4
447,17000,-4,-4,-4,-4
448,-5,-5,-5,-5,-5
449,16365,-4,-4,-4,-4
450,28000,-4,-4,-4,-4
451,-5,-5,-5,-5,-5
452,21000,-4,-4,-4,-4
453,39000,-4,-4,-4,-4
454,-5,-5,-5,-5,-5
455,25000,-4,-4,-4,-4
456,43000,-4,-4,-4,-4
457,52000,-4,-4,-4,-4
458,61000,-4,-4,-4,-4
459,2500,-4,-4,-4,-4
460,23500,-4,-4,-4,-4
461,60000,-4,-4,-4,-4
462,46000,-4,-4,-4,-4
463,-1,-4,-4,-4,-4
464,52000,-4,-4,-4,-4
465,10000,-4,-4,-4,-4
466,25000,-4,-4,-4,-4
467,-1,-4,-4,-4,-4
468,95000,-4,-4,-4,-4
469,-1,-4,-4,-4,-4
470,20000,-4,-4,-4,-4
471,0,-4,-4,-4,-4
472,19000,-4,-4,-4,-4
473,20000,-4,-4,-4,-4
474,35000,-4,-4,-4,-4
475,23000,-4,-4,-4,-4
476,3000,-4,-4,-4,-4
477,15000,-4,-4,-4,-4
478,0,-4,-4,-4,-4
479,86000,-4,-4,-4,-4
480,50000,-4,-4,-4,-4
481,145000,-4,-4,-4,-4
482,120000,-4,-4,-4,-4
483,72000,-4,-4,-4,-4
484,0,-4,-4,-4,-4
485,7000,-4,-4,-4,-4
486,100000,-4,-4,-4,-4
487,42000,-4,-4,-4,-4
488,57000,-4,-4,-4,-4
489,80000,-4,-4,-4,-4
490,-5,-5,-5,-5,-5
491,48000,-4,-4,-4,-4
492,0,-4,-4,-4,-4
493,40000,-4,-4,-4,-4
494,-5,-5,-5,-5,-5
495,27040,-4,-4,-4,-4
496,9300,-4,-4,-4,-4
497,-5,-5,-5,-5,-5
498,-5,-5,-5,-5,-5
499,32000,-4,-4,-4,-4
500,49000,-4,-4,-4,-4
501,47500,-4,-4,-4,-4
502,83000,-4,-4,-4,-4
503,20000,-4,-4,-4,-4
504,0,-4,-4,-4,-4
505,43000,-4,-4,-4,-4
506,37500,-4,-4,-4,-4
507,8000,-4,-4,-4,-4
508,-5,-5,-5,-5,-5
509,-5,-5,-5,-5,-5
510,-5,-5,-5,-5,-5
511,-5,-5,-5,-5,-5
512,-5,-5,-5,-5,-5
513,90000,-4,-4,-4,-4
514,0,-4,-4,-4,-4
515,-5,-5,-5,-5,-5
516,-5,-5,-5,-5,-5
517,12000,-4,-4,-4,-4
518,7800,-4,-4,-4,-4
519,19000,-4,-4,-4,-4
520,52000,-4,-4,-4,-4
521,-1,-4,-4,-4,1
522,-5,-5,-5,-5,-5
523,-5,-5,-5,-5,-5
524,-5,-5,-5,-5,-5
525,-5,-5,-5,-5,-5
526,265933,-4,-4,-4,-4
527,45000,-4,-4,-4,-4
528,57000,-4,-4,-4,-4
529,-5,-5,-5,-5,-5
530,0,-4,-4,-4,-4
531,0,-4,-4,-4,-4
532,-5,-5,-5,-5,-5
533,8000,-4,-4,-4,-4
534,45000,-4,-4,-4,-4
535,-5,-5,-5,-5,-5
536,0,-4,-4,-4,-4
537,-5,-5,-5,-5,-5
538,0,-4,-4,-4,-4
539,-5,-5,-5,-5,-5
540,50000,-4,-4,-4,-4
541,26000,-4,-4,-4,-4
542,0,-4,-4,-4,-4
543,58660,-4,-4,-4,-4
544,31999,-4,-4,-4,-4
545,-5,-5,-5,-5,-5
546,0,-4,-4,-4,-4
547,71000,-4,-4,-4,-4
548,8000,-4,-4,-4,-4
549,47000,-4,-4,-4,-4
550,24700,-4,-4,-4,-4
551,-5,-5,-5,-5,-5
552,-1,-4,-4,-4,0
553,50000,-4,-4,-4,-4
554,50,-4,-4,-4,-4
555,40000,-4,-4,-4,-4
556,109000,-4,-4,-4,-4
557,0,-4,-4,-4,-4
558,35000,-4,-4,-4,-4
559,65000,-4,-4,-4,-4
560,0,-4,-4,-4,-4
561,35600,-4,-4,-4,-4
562,49000,-4,-4,-4,-4
563,5000,-4,-4,-4,-4
564,-5,-5,-5,-5,-5
565,30000,-4,-4,-4,-4
566,0,-4,-4,-4,-4
567,0,-4,-4,-4,-4
568,34000,-4,-4,-4,-4
569,-5,-5,-5,-5,-5
570,100000,-4,-4,-4,-4
571,45000,-4,-4,-4,-4
572,-1,-4,-4,1,-4
573,57000,-4,-4,-4,-4
574,-5,-5,-5,-5,-5
575,30000,-4,-4,-4,-4
576,0,-4,-4,-4,-4
577,-1,-4,-4,-4,-4
578,35000,-4,-4,-4,-4
579,500,-4,-4,-4,-4
580,75000,-4,-4,-4,-4
581,35000,-4,-4,-4,-4
582,42000,-4,-4,-4,-4
583,71500,-4,-4,-4,-4
584,-5,-5,-5,-5,-5
585,20000,-4,-4,-4,-4
586,-5,-5,-5,-5,-5
587,-5,-5,-5,-5,-5
588,-5,-5,-5,-5,-5
589,0,-4,-4,-4,-4
590,37700,-4,-4,-4,-4
591,38000,-4,-4,-4,-4
592,-5,-5,-5,-5,-5
593,0,-4,-4,-4,-4
594,65000,-4,-4,-4,-4
595,-5,-5,-5,-5,-5
596,-5,-5,-5,-5,-5
597,15912,-4,-4,-4,-4
598,-5,-5,-5,-5,-5
599,-5,-5,-5,-5,-5
600,62000,-4,-4,-4,-4
601,-5,-5,-5,-5,-5
602,-5,-5,-5,-5,-5
603,-5,-5,-5,-5,-5
604,35000,-4,-4,-4,-4
605,54000,-4,-4,-4,-4
606,35000,-4,-4,-4,-4
607,-5,-5,-5,-5,-5
608,8000,-4,-4,-4,-4
609,33000,-4,-4,-4,-4
610,10000,-4,-4,-4,-4
611,25600,-4,-4,-4,-4
612,37000,-4,-4,-4,-4
613,64000,-4,-4,-4,-4
614,46000,-4,-4,-4,-4
615,-2,-2,-2,0,-4
616,32000,-4,-4,-4,-4
617,-5,-5,-5,-5,-5
618,48000,-4,-4,-4,-4
619,265933,-4,-4,-4,-4
620,60000,-4,-4,-4,-4
621,0,-4,-4,-4,-4
622,34000,-4,-4,-4,-4
623,0,-4,-4,-4,-4
624,58000,-4,-4,-4,-4
625,25000,-4,-4,-4,-4
626,7068,-4,-4,-4,-4
627,0,-4,-4,-4,-4
628,2000,-4,-4,-4,-4
629,19000,-4,-4,-4,-4
630,0,-4,-4,-4,-4
631,32000,-4,-4,-4,-4
632,-2,6000,5000,-4,-4
633,-5,-5,-5,-5,-5
634,-5,-5,-5,-5,-5
635,0,-4,-4,-4,-4
636,44000,-4,-4,-4,-4
637,-4,-4,-4,-4,-4
638,95000,-4,-4,-4,-4
639,37000,-4,-4,-4,-4
640,38000,-4,-4,-4,-4
641,15000,-4,-4,-4,-4
642,-5,-5,-5,-5,-5
643,-5,-5,-5,-5,-5
644,265933,-4,-4,-4,-4
645,112000,-4,-4,-4,-4
646,6000,-4,-4,-4,-4
647,51000,-4,-4,-4,-4
648,24000,-4,-4,-4,-4
649,110000,-4,-4,-4,-4
650,50000,-4,-4,-4,-4
651,-5,-5,-5,-5,-5
652,-5,-5,-5,-5,-5
653,75000,-4,-4,-4,-4
654,-5,-5,-5,-5,-5
655,0,-4,-4,-4,-4
656,0,-4,-4,-4,-4
657,0,-4,-4,-4,-4
658,61000,-4,-4,-4,-4
659,68000,-4,-4,-4,-4
660,0,-4,-4,-4,-4
661,-5,-5,-5,-5,-5
662,17000,-4,-4,-4,-4
663,84000,-4,-4,-4,-4
664,41000,-4,-4,-4,-4
665,28000,-4,-4,-4,-4
666,0,-4,-4,-4,-4
667,55000,-4,-4,-4,-4
668,0,-4,-4,-4,-4
669,28000,-4,-4,-4,-4
670,0,-4,-4,-4,-4
671,7000,-4,-4,-4,-4
672,28000,-4,-4,-4,-4
673,0,-4,-4,-4,-4
674,-1,-4,-4,-4,0
675,341,-4,-4,-4,-4
676,-5,-5,-5,-5,-5
677,30000,-4,-4,-4,-4
678,-5,-5,-5,-5,-5
679,8000,-4,-4,-4,-4
680,-5,-5,-5,-5,-5
681,3000,-4,-4,-4,-4
682,0,-4,-4,-4,-4
683,55000,-4,-4,-4,-4
684,68000,-4,-4,-4,-4
685,0,-4,-4,-4,-4
686,47300,-4,-4,-4,-4
687,36000,-4,-4,-4,-4
688,43000,-4,-4,-4,-4
689,-5,-5,-5,-5,-5
690,49000,-4,-4,-4,-4
691,-5,-5,-5,-5,-5
692,50000,-4,-4,-4,-4
693,-5,-5,-5,-5,-5
694,-5,-5,-5,-5,-5
695,-5,-5,-5,-5,-5
696,-5,-5,-5,-5,-5
697,50000,-4,-4,-4,-4
698,4748,-4,-4,-4,-4
699,15000,-4,-4,-4,-4
700,-5,-5,-5,-5,-5
701,4700,-4,-4,-4,-4
702,-5,-5,-5,-5,-5
703,28000,-4,-4,-4,-4
704,59000,-4,-4,-4,-4
705,-5,-5,-5,-5,-5
706,11433,-4,-4,-4,-4
707,58000,-4,-4,-4,-4
708,0,-4,-4,-4,-4
709,28764,-4,-4,-4,-4
710,-5,-5,-5,-5,-5
711,43000,-4,-4,-4,-4
712,45000,-4,-4,-4,-4
713,11960,-4,-4,-4,-4
714,-2,20000,15000,-4,-4
715,-5,-5,-5,-5,-5
716,33000,-4,-4,-4,-4
717,36000,-4,-4,-4,-4
718,-5,-5,-5,-5,-5
719,50000,-4,-4,-4,-4
720,16000,-4,-4,-4,-4
721,15000,-4,-4,-4,-4
722,48000,-4,-4,-4,-4
723,20000,-4,-4,-4,-4
724,24552,-4,-4,-4,-4
725,73000,-4,-4,-4,-4
726,48000,-4,-4,-4,-4
727,40000,-4,-4,-4,-4
728,33000,-4,-4,-4,-4
729,265933,-4,-4,-4,-4
730,115000,-4,-4,-4,-4
731,-5,-5,-5,-5,-5
732,0,-4,-4,-4,-4
733,3000,-4,-4,-4,-4
734,-5,-5,-5,-5,-5
735,21000,-4,-4,-4,-4
736,16000,-4,-4,-4,-4
737,19000,-4,-4,-4,-4
738,-5,-5,-5,-5,-5
739,0,-4,-4,-4,-4
740,0,-4,-4,-4,-4
741,0,-4,-4,-4,-4
742,106000,-4,-4,-4,-4
743,50000,-4,-4,-4,-4
744,0,-4,-4,-4,-4
745,42300,-4,-4,-4,-4
746,32000,-4,-4,-4,-4
747,48000,-4,-4,-4,-4
748,33000,-4,-4,-4,-4
749,-5,-5,-5,-5,-5
750,58000,-4,-4,-4,-4
751,55000,-4,-4,-4,-4
752,90000,-4,-4,-4,-4
753,70000,-4,-4,-4,-4
754,-5,-5,-5,-5,-5
755,27500,-4,-4,-4,-4
756,22000,-4,-4,-4,-4
757,35000,-4,-4,-4,-4
758,19000,-4,-4,-4,-4
759,0,-4,-4,-4,-4
760,-5,-5,-5,-5,-5
761,27000,-4,-4,-4,-4
762,62000,-4,-4,-4,-4
763,2800,-4,-4,-4,-4
764,17500,-4,-4,-4,-4
765,-5,-5,-5,-5,-5
766,-5,-5,-5,-5,-5
767,-5,-5,-5,-5,-5
768,16000,-4,-4,-4,-4
769,12000,-4,-4,-4,-4
770,11000,-4,-4,-4,-4
771,-5,-5,-5,-5,-5
772,60000,-4,-4,-4,-4
773,-5,-5,-5,-5,-5
774,34000,-4,-4,-4,-4
775,0,-4,-4,-4,-4
776,94300,-4,-4,-4,-4
777,85000,-4,-4,-4,-4
778,48000,-4,-4,-4,-4
779,-5,-5,-5,-5,-5
780,-5,-5,-5,-5,-5
781,-5,-5,-5,-5,-5
782,58500,-4,-4,-4,-4
783,35000,-4,-4,-4,-4
784,-5,-5,-5,-5,-5
785,-5,-5,-5,-5,-5
786,-5,-5,-5,-5,-5
787,-5,-5,-5,-5,-5
788,-5,-5,-5,-5,-5
789,-5,-5,-5,-5,-5
790,0,-4,-4,-4,-4
791,37000,-4,-4,-4,-4
792,0,-4,-4,-4,-4
793,48000,-4,-4,-4,-4
794,-5,-5,-5,-5,-5
795,-5,-5,-5,-5,-5
796,58000,-4,-4,-4,-4
797,-1,-4,-4,-4,-1
798,-5,-5,-5,-5,-5
799,56000,-4,-4,-4,-4
800,52000,-4,-4,-4,-4
801,15000,-4,-4,-4,-4
802,30000,-4,-4,-4,-4
803,54000,-4,-4,-4,-4
804,28000,-4,-4,-4,-4
805,-5,-5,-5,-5,-5
806,52000,-4,-4,-4,-4
807,70000,-4,-4,-4,-4
808,-5,-5,-5,-5,-5
809,-5,-5,-5,-5,-5
810,103000,-4,-4,-4,-4
811,6200,-4,-4,-4,-4
812,-2,-2,-2,0,-4
813,33000,-4,-4,-4,-4
814,-5,-5,-5,-5,-5
815,22000,-4,-4,-4,-4
816,-5,-5,-5,-5,-5
817,66000,-4,-4,-4,-4
818,80000,-4,-4,-4,-4
819,0,-4,-4,-4,-4
820,75000,-4,-4,-4,-4
821,53500,-4,-4,-4,-4
822,-5,-5,-5,-5,-5
823,30000,-4,-4,-4,-4
824,-5,-5,-5,-5,-5
825,70000,-4,-4,-4,-4
826,-5,-5,-5,-5,-5
