,,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income
age,,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
code,spouse_birthyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52836.06314923038,62160.969236881625,60378.794348421434,,58669.64125754549,,69281.46921243968,,58907.38405757002,,61574.407002445696,,65194.39637492358,,,,,,,,,,,,22999.98522480949,,,,,,,,,,,,,,
36,1953.0,,,,,,,,,,,,,,12594.253168351015,,,,11063.347191161556,,31709.072006672835,30420.76363137507,31857.49673390183,31698.867032921255,,32912.23777862308,,33961.504515901805,,34810.33681908672,,,,40301.9904863164,,29030.644762791955,,,,27951.011946959043,,27143.13424656072,,,,,,,,,,,,,,,,,,,,,,,,,
37,1953.0,,,,,,,,,,,52760.197959908,65529.63211719891,72247.3042142258,62971.26584175508,116314.7364113617,173703.01463262943,139361.69289096273,168527.967762964,175949.50477705043,179623.54842516826,206556.9850570367,229196.81772176808,119248.11883813233,,107322.51449551004,,101884.51354770541,,111269.50321985451,,104676.49190415768,,106681.73952260222,,10049.069340966445,,94650.17006777262,,100623.64300905255,,77551.81213303063,,112323.9509158974,,114999.92612404746,,68498.2948812862,,,,,,,,,,,,,,,,,,,
38,1963.0,,,,,,,46057.92739342466,46097.279963173154,48372.08590877532,50066.95580000974,46431.691858414575,49728.7753895053,54340.91491357928,,52945.77381778496,,51621.48686417074,,26181.05958114223,,,,37457.144099047,,,,42066.74225234339,,,,33928.9178082009,,28080.98772897435,,32199.979314733286,,35583.52980846036,,34116.827557574055,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1966.0,,,,,,,,,,2717.0457456789645,,,,,,15708.635748685341,,14777.857680586967,,11853.526613622469,,5582.816300536914,,,,15246.006516523115,,31020.724853212254,,32761.152350470074,,22999.98522480949,,3558.352980846036,,17058.413778787028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1961.0,,,,,,,,,,,,,,,,,,,,,54456.60392877585,,,,58082.2804067501,,63085.82419606713,,66255.11904744084,,86394.03692696431,,77551.81213303063,,83026.12038533416,,96599.93794419986,,88958.8245211509,,76762.86200454162,,,,,,,,,,,,,,,,,,,,,,,,,
42,1965.0,,,,,,,,16688.985266669915,2401.6392340559264,4662.072692766122,30189.397174210717,,32912.23777862308,,40753.805419082164,,45816.85426699891,,43102.08490171198,,53340.86976130111,,39079.7141037584,,52583.42781542924,,55902.023893918085,,53316.870841458556,,56161.9754579487,,54509.96498279848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1961.0,,44982.629179807336,55158.38877626745,49712.13470959917,52543.493973982404,56674.13925757956,56760.65076367471,79576.24877230659,139361.69289096273,92194.55992634631,84431.27722258965,83444.92633334956,72049.1770216778,69931.09039149183,,,,,163015.22167632866,,150541.09259156784,,147778.57680586967,,151725.1406543676,,139570.40751342286,,157750.2834462877,,152460.06516523115,,72704.82387471622,,335706.33623403974,,165599.89361862832,,333679.2132493658,,63969.05167045134,,,,,,,,,,,,,,,,,,,,,,,,,
45,1963.0,,,,,,45756.34304407628,53734.24862566211,51628.953558753936,69479.90521442273,23364.579373337878,68846.99137626989,79255.23577702408,67926.14364197411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1953.0,,,,,,,,,,,,,,,,,,,70359.39768549138,80107.12928001558,86459.01242601335,83917.3084697902,83020.84222907947,,85858.01159640803,,81507.61083816433,,111269.50321985451,,103445.00376410877,,100754.97621579099,,100490.69340966445,,94650.17006777262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1957.0,,,,,,,8393.66785725809,18077.139894399697,,,,,,,,10013.391160001947,7204.917702167779,14172.700986009011,12830.493799039556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1956.0,,,,,65182.66095797903,60091.078190398875,60858.85124326875,57556.579592626906,62140.16838699896,59111.4307207302,54785.00128232691,55138.91788471257,58687.4834695761,57572.40924178083,51628.953558753936,47492.59343770667,58411.448433344696,48353.00324565932,50010.05377530219,50811.77438391406,,58001.37973395346,,62123.74252066821,,64658.053794567924,,61574.407002445696,,65312.9316410598,,63956.74353895089,,65203.45049113225,,60984.02606609246,,58163.85909977298,,63650.23885234186,,62159.76006857013,,59717.16931280339,,63116.130981512004,,,,,,,,,,,,,,,,,,,,
50,1954.0,,,,,,,,,,,,,,,,67167.81078207762,70067.8655440232,61564.47297480495,11682.289686668939,48032.78468111853,54390.84808227142,52831.44505486875,,50083.84009790469,,47546.10632226253,,45816.85426699891,,39407.620481565245,,47414.106454489876,,,,54686.76492804641,,55902.023893918085,,58163.85909977298,,65522.30470094015,,67159.95685644372,,64050.353655228646,,55439.844781057844,,,,,,,,,,,,,,,,,,
52,1958.0,,,,21031.877366639605,26460.37010576902,21583.717347235088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1957.0,,,,,,,,,,,,,,29502.259176430824,,,,,,,35774.171498503354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1950.0,,,,,,,,,,,63708.53001016012,78118.40164751853,63504.888253845646,,,,,,,,,,,,49728.7753895053,,,74410.27671688698,,61130.70812862324,,52362.11916228446,,,,78897.07314027115,,61410.97930590606,,53635.096371737825,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1955.0,,,,,,,18027.323457119663,37044.518148076626,45565.62551082963,45192.84973599925,52543.493973982404,54575.0970628544,54733.484664972035,59682.186579229936,71005.97139819636,73755.64794107706,68600.41274335409,66755.94106667966,70448.08419897384,68966.04134408924,69435.61350068465,,71548.34299700671,,82866.0710188004,,98178.97342928337,,,,26077.758549969432,,50245.34670483223,,49428.422146503486,,57426.62454557039,,54286.26849312144,,49609.74498785468,,52892.60602178989,,58712.824183959594,,55439.844781057844,,,,,,,,,,,,,,,,,,,
59,1957.0,,,,,,,,,,,19866.22776728615,25225.67086082119,,,77395.3374540405,73431.53517334761,72049.1770216778,,66416.67378326358,,64393.508697306024,,77432.23029625611,,75925.07278531248,,,,73491.86500445931,,,,78875.14172314385,,87410.43736139919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1961.0,,,,,,,,,,,,,40027.32056759878,43512.67846581713,57359.85463100036,,57238.674397605355,,61130.70812862324,,70688.86086908403,,,,,,,,,,,,84337.59569467082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1963.0,,,,,,,,,738.7736756976594,,,,64907.20392455304,,60243.70480347963,,,,91633.70853399782,,108370.95632430444,,106681.73952260222,,33496.89780322149,,,,762.3003258261557,,1454.0964774943245,,,,,,133438.23678172636,,117703.05507363047,,,,,,,,,,,,,,,,,,,,,,,,,,,
