"R0000100","T2076700","T2076900","T2077100","T2077300","T2077400"
77,75000,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,16000,-4,-4,-4,-4
81,-5,-5,-5,-5,-5
82,0,-4,-4,-4,-4
83,0,-4,-4,-4,-4
84,0,-4,-4,-4,-4
85,0,-4,-4,-4,-4
86,13000,-4,-4,-4,-4
87,28000,-4,-4,-4,-4
88,34000,-4,-4,-4,-4
89,56000,-4,-4,-4,-4
90,120000,-4,-4,-4,-4
91,30000,-4,-4,-4,-4
92,24000,-4,-4,-4,-4
93,96000,-4,-4,-4,-4
94,42000,-4,-4,-4,-4
95,44000,-4,-4,-4,-4
96,45000,-4,-4,-4,-4
97,51000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
99,11000,-4,-4,-4,-4
100,58000,-4,-4,-4,-4
101,-5,-5,-5,-5,-5
102,-1,-4,-4,-4,-4
103,68000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,46600,-4,-4,-4,-4
106,105000,-4,-4,-4,-4
107,47000,-4,-4,-4,-4
108,70000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,91000,-4,-4,-4,-4
111,40000,-4,-4,-4,-4
112,-2,-2,-2,-4,1
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5
117,50000,-4,-4,-4,-4
118,-5,-5,-5,-5,-5
119,0,-4,-4,-4,-4
120,307823,-4,-4,-4,-4
121,45000,-4,-4,-4,-4
122,1500,-4,-4,-4,-4
123,-5,-5,-5,-5,-5
124,0,-4,-4,-4,-4
125,-5,-5,-5,-5,-5
126,65000,-4,-4,-4,-4
127,-5,-5,-5,-5,-5
128,65000,-4,-4,-4,-4
129,95000,-4,-4,-4,-4
130,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5
133,57000,-4,-4,-4,-4
134,-5,-5,-5,-5,-5
135,80000,-4,-4,-4,-4
136,0,-4,-4,-4,-4
137,307823,-4,-4,-4,-4
138,2500,-4,-4,-4,-4
139,70000,-4,-4,-4,-4
140,65000,-4,-4,-4,-4
141,-5,-5,-5,-5,-5
142,-5,-5,-5,-5,-5
143,75000,-4,-4,-4,-4
144,-5,-5,-5,-5,-5
145,20000,-4,-4,-4,-4
146,63000,-4,-4,-4,-4
147,12000,-4,-4,-4,-4
148,35200,-4,-4,-4,-4
149,111000,-4,-4,-4,-4
150,0,-4,-4,-4,-4
151,-5,-5,-5,-5,-5
152,103000,-4,-4,-4,-4
153,0,-4,-4,-4,-4
154,-5,-5,-5,-5,-5
155,-5,-5,-5,-5,-5
156,-1,-4,-4,-4,-4
157,75000,-4,-4,-4,-4
158,41000,-4,-4,-4,-4
159,-5,-5,-5,-5,-5
160,67000,-4,-4,-4,-4
161,34000,-4,-4,-4,-4
162,-5,-5,-5,-5,-5
163,-5,-5,-5,-5,-5
164,-5,-5,-5,-5,-5
165,0,-4,-4,-4,-4
166,71000,-4,-4,-4,-4
167,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5
169,-5,-5,-5,-5,-5
170,-5,-5,-5,-5,-5
171,103000,-4,-4,-4,-4
172,0,-4,-4,-4,-4
173,-5,-5,-5,-5,-5
174,-2,45000,50000,-4,-4
175,-2,0,-2,-2,-4
176,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5
178,50000,-4,-4,-4,-4
179,29000,-4,-4,-4,-4
180,-5,-5,-5,-5,-5
181,65000,-4,-4,-4,-4
182,-5,-5,-5,-5,-5
183,20000,-4,-4,-4,-4
184,21700,-4,-4,-4,-4
185,59000,-4,-4,-4,-4
186,56000,-4,-4,-4,-4
187,-5,-5,-5,-5,-5
188,12478,-4,-4,-4,-4
189,130000,-4,-4,-4,-4
190,100000,-4,-4,-4,-4
191,138000,-4,-4,-4,-4
192,30000,-4,-4,-4,-4
193,115000,-4,-4,-4,-4
194,-5,-5,-5,-5,-5
195,307823,-4,-4,-4,-4
196,-5,-5,-5,-5,-5
197,28000,-4,-4,-4,-4
198,307823,-4,-4,-4,-4
199,50000,-4,-4,-4,-4
200,38000,-4,-4,-4,-4
201,10000,-4,-4,-4,-4
202,57000,-4,-4,-4,-4
203,-5,-5,-5,-5,-5
204,-5,-5,-5,-5,-5
205,35000,-4,-4,-4,-4
206,-5,-5,-5,-5,-5
207,30000,-4,-4,-4,-4
208,-5,-5,-5,-5,-5
209,-5,-5,-5,-5,-5
210,55000,-4,-4,-4,-4
211,0,-4,-4,-4,-4
212,0,-4,-4,-4,-4
213,48000,-4,-4,-4,-4
214,80000,-4,-4,-4,-4
215,-5,-5,-5,-5,-5
216,3900,-4,-4,-4,-4
217,-5,-5,-5,-5,-5
218,307823,-4,-4,-4,-4
219,11587,-4,-4,-4,-4
220,104000,-4,-4,-4,-4
221,28000,-4,-4,-4,-4
222,0,-4,-4,-4,-4
223,47000,-4,-4,-4,-4
224,11057,-4,-4,-4,-4
225,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5
227,10000,-4,-4,-4,-4
228,5468,-4,-4,-4,-4
229,8500,-4,-4,-4,-4
230,65000,-4,-4,-4,-4
231,45000,-4,-4,-4,-4
232,45000,-4,-4,-4,-4
233,37000,-4,-4,-4,-4
234,140000,-4,-4,-4,-4
235,108000,-4,-4,-4,-4
236,35000,-4,-4,-4,-4
237,0,-4,-4,-4,-4
238,-5,-5,-5,-5,-5
239,9500,-4,-4,-4,-4
240,23000,-4,-4,-4,-4
241,-5,-5,-5,-5,-5
242,49000,-4,-4,-4,-4
243,102000,-4,-4,-4,-4
244,10500,-4,-4,-4,-4
245,31300,-4,-4,-4,-4
