"R0000100","R0006500","R0007900","T9900000"
790,11,-2,12
791,12,11,12
792,12,12,16
793,12,17,16
794,12,12,13
795,12,13,16
796,11,12,16
797,11,12,12
798,12,12,12
799,12,12,12
800,10,9,14
801,11,6,18
802,11,6,12
803,12,12,12
804,12,12,19
805,12,12,12
806,12,12,12
807,12,12,16
808,12,12,14
809,12,12,19
810,12,12,16
811,12,10,15
812,12,10,16
813,12,13,20
814,12,14,12
815,16,17,12
816,12,12,16
817,12,14,16
818,12,12,13
819,12,12,14
820,17,16,16
821,18,16,18
822,12,14,12
823,12,16,14
824,12,16,18
825,16,16,17
826,16,16,16
827,12,16,20
828,14,14,14
829,14,17,19
830,10,-3,12
831,15,-3,12
832,12,12,12
833,12,12,13
834,12,12,13
835,10,10,13
836,11,-3,15
837,-3,11,14
838,8,11,12
839,12,10,16
840,5,-2,10
841,11,9,12
842,12,12,11
843,13,11,12
844,13,11,12
845,12,13,12
846,12,-2,12
847,11,11,16
848,12,-2,12
849,12,8,12
850,12,11,13
851,13,12,12
852,-2,12,12
853,12,12,12
854,12,12,12
855,12,16,12
856,12,12,13
857,12,12,13
858,12,12,12
859,12,12,12
860,11,12,12
861,12,12,12
862,9,12,11
863,14,16,12
864,12,16,20
865,12,16,12
866,12,12,12
867,12,16,12
868,15,18,19
869,12,12,12
870,9,12,12
871,12,13,12
872,16,17,16
873,16,17,18
874,16,17,19
875,15,15,12
876,14,15,14
877,14,14,20
878,14,14,12
879,19,20,20
880,11,14,17
881,16,16,16
882,16,16,16
883,16,16,15
884,13,15,19
885,20,20,20
886,14,16,18
887,14,16,19
888,14,14,12
889,12,12,15
890,12,14,19
891,12,14,12
892,13,14,12
893,12,12,12
894,12,14,12
895,-3,16,16
896,16,17,16
897,16,18,14
898,16,16,16
899,11,10,15
900,10,12,15
901,11,10,16
902,13,16,17
903,12,12,14
904,12,12,15
905,12,12,12
906,13,12,19
907,12,12,19
908,12,12,16
909,12,12,15
910,12,-3,16
911,15,12,13
912,12,10,16
913,12,10,20
914,10,12,12
915,10,8,16
916,14,16,16
917,10,13,14
918,12,12,12
919,12,12,12
920,12,12,16
921,12,12,14
922,10,11,12
923,-2,9,12
924,12,13,16
925,12,14,16
926,13,14,14
927,12,14,14
928,12,12,16
929,12,12,12
930,0,-2,14
931,12,9,12
932,12,12,12
933,-2,-2,12
934,16,11,16
935,12,12,12
936,12,12,16
937,12,12,14
938,12,12,12
939,12,10,12
940,12,12,12
941,12,12,13
942,12,12,12
943,14,14,15
944,12,12,18
945,12,12,16
946,12,12,16
947,10,12,13
948,11,12,12
949,12,11,12
950,12,11,12
951,12,12,12
952,12,12,12
953,9,12,12
954,12,12,16
955,12,12,12
956,12,12,13
957,12,12,12
958,8,12,12
959,15,16,14
960,15,16,15
961,15,16,16
962,12,9,18
963,12,9,12
964,12,9,12
965,12,10,12
966,12,10,12
967,12,10,12
968,8,10,12
969,12,12,12
970,12,12,12
971,12,12,12
972,12,12,12
973,12,12,12
974,12,12,20
975,-2,-2,12
976,11,12,18
977,11,12,12
978,11,12,16
979,8,12,12
980,10,8,12
981,10,8,12
982,10,8,12
983,14,12,13
984,12,20,16
985,13,12,14
986,12,14,16
987,12,16,16
988,-2,-2,15
989,12,14,15
990,12,16,12
991,12,14,12
992,16,16,12
993,14,8,10
994,12,11,14
995,-3,11,12
996,12,15,12
997,12,12,12
998,12,8,12
999,10,8,16
1000,16,12,14
1001,12,12,14
1002,10,12,12
1003,12,16,16
1004,12,11,14
1005,12,12,12
1006,12,12,15
1007,12,11,12
1008,8,16,12
1009,8,12,12
1010,10,12,16
1011,12,12,12
1012,8,8,12
1013,9,8,14
1014,14,16,18
1015,-2,16,19
1016,12,12,12
1017,12,15,16
1018,12,15,16
1019,16,16,17
1020,16,16,17
1021,11,13,16
1022,12,12,17
1023,16,16,16
1024,14,18,16
1025,-2,-2,8
1026,12,15,14
1027,14,-2,12
1028,-2,-2,11
1029,14,11,13
1030,10,-3,12
1031,-2,-4,9
1032,-3,-2,11
1033,9,11,10
1034,9,8,7
1035,8,10,12
1036,10,-2,12
1037,12,14,12
1038,12,14,15
1039,13,12,15
1040,12,12,12
1041,11,8,13
1042,14,14,12
1043,12,16,12
1044,12,9,12
1045,-3,12,12
1046,16,12,19
1047,16,6,13
1048,11,11,12
1049,12,14,18
1050,12,18,16
1051,8,12,18
1052,12,12,18
1053,12,12,16
1054,12,12,12
1055,12,16,16
1056,11,12,12
1057,12,-3,12
1058,13,8,15
1059,-2,-3,12
1060,10,14,12
1061,12,12,12
1062,12,12,12
1063,10,8,12
1064,12,12,12
1065,12,12,12
1066,10,12,12
1067,-2,-2,10
1068,8,11,9
1069,10,10,10
1070,-2,10,12
1071,10,10,12
1072,16,18,18
1073,10,-2,13
1074,10,12,12
1075,8,5,12
1076,12,12,14
1077,12,6,9
1078,12,12,16
1079,-3,-3,14
1080,10,8,12
1081,16,16,14
1082,16,16,16
1083,12,12,14
1084,-2,6,9
1085,8,12,12
1086,16,18,18
1087,16,18,20
1088,16,18,18
1089,8,10,9
1090,10,9,9
1091,8,5,10
1092,8,5,12
1093,12,18,16
1094,12,9,12
1095,-3,7,12
1096,12,7,12
1097,16,16,14
1098,16,16,20
1099,16,16,14
1100,16,16,16
1101,12,14,19
1102,14,16,15
1103,12,19,16
